昆明机场飞行动态,,,,,
,,,,,2017年07月02日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
207,CA4173,B6916,昆明/1645,/,北京
208,CA4174,B6916,北京/2120,/,昆明
209,CA4175,B6822,昆明/0710,/,沈阳
210,CA4176,B6822,沈阳/1130,/,昆明
211,CA4275,B6793,昆明/1545,/,哈尔滨
212,CA4276,B6793,哈尔滨/0925,/,昆明
213,CA4413,B6847,成都/1115,/,昆明
214,CA4414,B6847,昆明/1355,/,成都
215,CA4417,B9926,成都/2105,/,昆明
216,CA4418,B6967,昆明/0850,/,成都
217,CA4459,B6941,成都/2155,/,昆明
218,CA4460,B6822,昆明/1825,/,成都
219,CA8929,,郑州/1100,/,昆明
220,CA8930,,昆明/1450,/,郑州
221,CF9017,B2827,昆明/0005,/,南京
222,CZ3247,B5836,桂林/1220,/,昆明
223,CZ3248,B5836,昆明/1500,/,桂林
224,CZ3407,B6018,广州/1355,/,昆明
225,CZ3408,B6018,昆明/1735,/,广州
226,CZ3409,B6291,广州/0820,/,昆明
227,CZ3410,B6291,昆明/1155,/,广州
228,CZ3415,B2694,广州/1135,/,昆明
229,CZ3416,B2694,昆明/1500,/,广州
230,CZ3420,B6409,昆明/0735,/,广州
231,CZ3431,B8425,海口/0805,/,昆明
232,CZ3432,B8425,昆明/1055,/,海口
233,CZ3449,B2353,广州/1510,/,昆明
234,CZ3450,B2353,昆明/1845,/,广州
235,CZ3459,B6379,深圳/0800,/,昆明
236,CZ3460,B6379,昆明/1135,/,深圳
237,CZ3467,B6253,长沙/1825,/,昆明
238,CZ3468,B6253,昆明/2130,/,长沙
239,CZ3469,B5041,武汉/1350,/,昆明
240,CZ3470,B5041,昆明/1715,/,武汉
241,CZ3481,B6195,广州/0700,昆明/1030,大理
242,CZ3482,B6195,大理/1210,昆明/1410,广州
243,CZ3487,B6209,广州/1235,昆明/1615,丽江
244,CZ3488,B6209,丽江/1805,昆明/2010,广州
245,CZ3489,B6135,广州/1830,/,昆明
246,CZ3490,B6135,昆明/2210,/,广州
247,CZ3491,B2916,郑州/0755,昆明/1135,版纳
248,CZ3492,B2916,版纳/1325,昆明/1530,郑州
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
249,CZ3495,B5238,郑州/1355,/,昆明
250,CZ3496,B5238,昆明/1740,/,郑州
251,CZ3541,B5191,昆明/0755,/,武汉
252,CZ3542,B5445,武汉/2155,/,昆明
253,CZ3677,B6703,上海/0740,/,昆明
254,CZ3678,B6703,昆明/1205,/,上海
255,CZ3857,B5156,汕头/0840,/,昆明
256,CZ3858,B5156,昆明/1215,/,汕头
257,CZ3863,B5721,南宁/1835,/,昆明
258,CZ3864,B5721,昆明/2110,/,南宁
259,CZ3901,B6098,北京/0905,/,昆明
260,CZ3902,B6098,昆明/1345,/,北京
261,CZ3997,B6098,北京/1930,/,昆明
262,CZ3998,B6111,昆明/0915,/,北京
263,CZ6159,B6111,北京/1450,/,昆明
264,CZ6160,B6111,昆明/2005,/,北京
265,CZ6269,B6652,西安/1230,/,昆明
266,CZ6270,B6652,昆明/1550,/,西安
267,CZ6369,B2622,郑州/1300,昆明/1650,版纳
268,CZ6370,B2622,版纳/1855,昆明/2100,郑州
269,CZ6403,B6265,重庆/1305,/,昆明
270,CZ6404,B6265,昆明/1550,/,重庆
271,CZ6415,B6817,西安/1650,/,昆明
272,CZ6416,B6817,昆明/2005,/,西安
273,CZ6425,B9951,武汉/1040,/,昆明
274,CZ6426,B9951,昆明/1355,/,武汉
275,CZ6427,B6896,长沙/1440,/,昆明
276,CZ6428,B6896,昆明/1745,/,长沙
277,CZ6459,B6812,重庆/1320,/,昆明
278,CZ6460,B6812,昆明/1610,/,重庆
279,CZ6561,B5742,义乌/2340,/,昆明
280,CZ6562,B5837,昆明/2035,/,义乌
281,CZ6597,B8640,三亚/1750,/,昆明
282,CZ6598,B8640,昆明/2105,/,三亚
283,CZ6601,B2620,郑州/1820,/,昆明
284,CZ6602,B2620,昆明/2210,/,郑州
285,CZ6799,B8848,上海/1450,/,昆明
286,CZ6800,B8848,昆明/1945,/,上海
287,CZ6949,B1952,重庆/1505,/,昆明
288,CZ6950,B1952,昆明/1745,/,重庆
289,CZ6977,B5068,武汉/1825,/,昆明
290,CZ6978,B5068,昆明/2150,/,武汉
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
291,CZ8509,B9915,青岛/1945,/,昆明
292,CZ8510,B9915,昆明/0810,/,青岛
293,DR5313,B5830,昆明/0725,/,恩施
294,DR5314,B5830,恩施/1540,/,昆明
295,DR6501,B5811,昆明/1310,/,芒市
296,DR6502,B5811,芒市/1455,/,昆明
297,DR6503,B5811,昆明/1700,/,芒市
298,DR6504,B5811,芒市/1840,/,昆明
299,DR6505,B5829,昆明/1830,/,芒市
300,DR6506,B5829,芒市/2025,/,昆明
301,DR6507,B5811,昆明/0910,/,芒市
302,DR6508,B5811,芒市/1055,/,昆明
303,DR6509,B6110,昆明/0840,/,版纳
304,DR6510,B6110,版纳/1035,/,昆明
305,DR6511,B5829,昆明/2240,/,版纳
306,DR6512,B5829,版纳/0030,/,昆明
307,DR6515,B6110,昆明/1330,/,襄阳
308,DR6516,B6110,襄阳/2230,/,昆明
309,DR6521,B1595,昆明/0700,/,成都
310,DR6522,B1595,成都/2250,/,昆明
311,DR6523,B5812,昆明/1710,/,丽江
312,DR6524,B5812,丽江/2255,/,昆明
313,DR6537,B7866,昆明/1855,/,兰州
314,DR6538,B7866,兰州/2205,/,昆明
315,DR6559,B1593,昆明/1240,/,太原
316,DR6560,B1593,太原/2210,/,昆明
317,DR6577,B6109,昆明/0715,/,榆林
318,DR6579,B5811,昆明/2040,/,芒市
319,DR6580,B5812,芒市/1350,/,昆明
320,DR6591,B1960,昆明/0635,/,西安
321,DR6592,B1960,西安/2215,/,昆明
322,DZ6311,B7630,珠海/0655,/,昆明
323,DZ6314,B7631,长沙/2020,/,昆明
324,EU2223,B6230,成都/0645,/,昆明
325,EU2224,B6230,昆明/2325,/,成都
326,EU2225,B6230,昆明/1925,/,版纳
327,EU2226,B6230,版纳/2115,/,昆明
328,EU2721,B6230,昆明/0920,/,柳州
329,EU2722,B6230,柳州/1655,/,昆明
330,FD582,,廊曼/0900,/,昆明
331,FD583,,昆明/1320,/,廊曼
332,FM9397,B6107,长沙/1250,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
333,FM9398,B6107,昆明/1610,/,长沙
334,FM9429,B1512,衡阳/1420,/,昆明
335,FM9430,B1512,昆明/1725,/,衡阳
336,FM9451,B2567,上海/0900,/,昆明
337,FM9452,B2567,昆明/1400,/,上海
338,FM9453,B5261,上海/0815,昆明/1300,版纳
339,FM9454,B5261,版纳/1445,昆明/1640,上海
340,FM9539,B5130,温州/0740,/,昆明
341,FM9540,B5130,昆明/1200,/,温州
342,FM9541,B5320,郑州/0750,/,昆明
343,FM9542,B5320,昆明/1150,/,郑州
344,FU6509,B1435,福州/1815,/,昆明
345,FU6510,B1435,昆明/2225,/,福州
346,GJ8661,B8451,贵阳/2320,/,昆明
347,GJ8662,B1673,昆明/0655,/,贵阳
348,GJ8837,B8560,珠海/1150,/,昆明
349,GJ8838,B8560,昆明/1805,/,珠海
350,GJ8871,B8433,昆明/0805,/,临沂
351,GJ8872,B8433,临沂/1925,/,昆明
352,GS7661,B1619,西安/1925,/,昆明
353,GS7662,B1619,昆明/2250,/,西安
354,GS7855,B1850,天津/0825,/,昆明
355,GS7856,B1850,昆明/1325,/,天津
356,GS7857,B8659,西安/1040,/,昆明
357,GS7858,B8659,昆明/1405,/,西安
358,GS7875,B9963,西安/1640,/,昆明
359,GS7876,B9963,昆明/1950,/,西安
360,HO1017,B6602,大庸/1655,/,昆明
361,HO1018,B6602,昆明/1955,/,大庸
362,HO1047,B6640,毕节/1745,/,昆明
363,HO1048,B6640,昆明/1945,/,毕节
364,HO1093,B6787,上海/2105,/,昆明
365,HO1094,B6381,昆明/0740,/,上海
366,HO1095,B6618,毕节/1825,/,昆明
367,HO1096,B6618,昆明/2025,/,毕节
368,HO1099,B6787,上海/1200,/,昆明
369,HO1100,B6787,昆明/1635,/,上海
370,HO1121,B6717,上海/0835,/,昆明
371,HO1122,B6717,昆明/1255,/,上海
372,HO1681,B6860,毕节/1255,/,昆明
373,HO1682,B6860,昆明/1505,/,毕节
374,HU7087,B5581,海口/0740,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
375,HU7088,B5581,昆明/1035,/,海口
376,HU7089,B5638,海口/1940,/,昆明
377,HU7090,B5638,昆明/2240,/,海口
378,HU7111,B2491,北京/1540,/,昆明
379,HU7112,B2491,昆明/2025,/,北京
380,HU7163,B5522,深圳/0755,/,昆明
381,HU7164,B5522,昆明/1125,/,深圳
382,HU7235,B7398,广州/1600,/,昆明
383,HU7236,B7398,昆明/1930,/,广州
384,HU7311,B5713,北京/2130,/,昆明
385,HU7312,B1927,昆明/0700,/,北京
386,JD5155,B1622,丽江/1405,/,昆明
387,JD5156,B1622,昆明/1605,/,丽江
388,JD5157,B8019,杭州/0955,/,昆明
389,JD5158,B8019,昆明/1430,/,杭州
390,JD5165,B6181,丽江/0940,/,昆明
391,JD5166,B6181,昆明/1550,/,丽江
392,JD5789,B8072,版纳/1005,/,昆明
393,JD5790,B8072,昆明/1220,/,版纳
394,JD5791,B6181,昆明/1145,/,芒市
395,JD5792,B6181,芒市/1340,/,昆明
396,KA760,,香港/1155,/,昆明
397,KA760,,香港/0800,/,昆明
398,KA761,,昆明/1530,/,香港
399,KA761,,昆明/0800,/,香港
400,KE885,,首尔/1830,/,昆明
401,KE886,,昆明/2355,/,首尔
402,KN2381,B7371,石家庄/0650,/,昆明
403,KN2382,B1751,昆明/2055,/,石家庄
404,KN5211,B1751,汉中/1755,/,昆明
405,KN5212,B7371,昆明/1110,/,汉中
406,KY8203,B5673,昆明/1200,/,南京
407,KY8204,B5673,南京/1600,/,昆明
408,KY8205,B5025,昆明/0905,/,济南
409,KY8206,B5025,济南/1955,/,昆明
410,KY8209,B7871,昆明/1255,/,版纳
411,KY8210,B7871,版纳/2220,/,昆明
412,KY8219,B5673,昆明/2125,/,深圳
413,KY8220,B5673,深圳/0830,/,昆明
414,KY8221,B6492,昆明/1725,/,重庆
415,KY8222,B6492,重庆/2005,/,昆明
416,KY8229,B2678,昆明/0800,/,腾冲
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
417,KY8230,B2678,腾冲/1620,/,昆明
418,KY8231,B7870,昆明/1640,/,丽江
419,KY8232,B7870,丽江/2345,/,昆明
420,KY8233,B1926,昆明/1355,/,太原
421,KY8234,B1991,太原/2000,/,昆明
422,KY8235,B2669,昆明/0815,/,杭州
423,KY8236,B2669,杭州/1215,/,昆明
424,KY8239,B7873,昆明/1620,/,青岛
425,KY8240,B7873,青岛/2050,/,昆明
426,KY8243,B5026,昆明/1815,/,普洱
427,KY8244,B5026,普洱/1950,/,昆明
428,KY8245,B5026,昆明/1310,/,芒市
429,KY8246,B5026,芒市/1450,/,昆明
430,KY8247,B5026,昆明/2155,/,芒市
431,KY8248,B5026,芒市/2345,/,昆明
432,KY8249,B7872,昆明/2010,/,丽江
433,KY8250,B7872,版纳/2335,/,昆明
434,KY8251,B7871,昆明/0800,/,保山
435,KY8252,B7871,保山/0940,/,昆明
436,KY8253,B6491,昆明/0810,/,西安
437,KY8254,B6491,西安/1120,/,昆明
438,KY8255,B7870,昆明/0900,/,临沧
439,KY8256,B7870,临沧/1055,/,昆明
440,KY8257,B7873,昆明/0825,/,郑州
441,KY8258,B7873,郑州/1210,/,昆明
442,KY8261,B6493,昆明/0700,/,重庆
443,KY8262,B6493,重庆/1610,/,昆明
444,KY8265,B2669,昆明/1650,/,杭州
445,KY8266,B2669,杭州/2055,/,昆明
446,KY8269,B1459,昆明/1910,/,丽江
447,KY8270,B1459,版纳/2255,/,昆明
448,KY8273,B6492,昆明/1020,/,武汉
449,KY8274,B6492,武汉/1340,/,昆明
450,KY8275,B6495,昆明/1410,/,济南
451,KY8276,B6495,济南/1905,/,昆明
452,KY8281,B6491,昆明/1440,/,上海
453,KY8282,B6491,上海/1915,/,昆明
454,KY8283,B7089,昆明/0740,/,上海
455,KY8284,B7089,上海/1155,/,昆明
456,KY8285,B6493,昆明/2240,/,广州
457,KY8286,B6492,广州/0645,/,昆明
458,KY8295,B5702,昆明/0705,/,重庆
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
459,KY8296,B5702,重庆/1620,/,昆明
460,KY8297,B2679,昆明/0940,/,石家庄
461,KY8298,B2679,石家庄/2010,/,昆明
462,KY8301,B2678,昆明/1840,/,惠州
463,KY8302,B2678,惠州/2130,/,昆明
464,KY8307,B7089,昆明/1650,/,南昌
465,KY8308,B1926,南昌/0940,/,昆明
466,KY8313,B1459,昆明/0800,/,腾冲
467,KY8314,B1459,腾冲/1650,/,昆明
