FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
"CA1955","","CA1752","温州-昆明","WNZ","","D","B6733","A320","","","","8:00","11:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9561","","ZH9562","南京-昆明","NKG","","D","B5400","B738","","","","8:20","11:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"DR6570","","","北海-昆明","BHY","","D","B1593","B738","","","","9:45","11:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"JD5789","","JD5790","版纳-昆明","JHG","","D","B8072","A320","","","","10:05","11:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5741","","MU9715","版纳-昆明","JHG","","D","B5295","B737","","","","10:15","11:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"UO273","","UO274","香港-昆明","HKG","","R","BLCG","A320","","","","7:50","11:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FD582","","FD583","廊曼-昆明","DMK","","I","HSBBE","A320","","","","7:50","11:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2035","","MU2035","北京-昆明","PEK","","D","B6249","B738","","","","7:55","11:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU9756","","MU5721","保山-昆明","BSD","","D","B5225","B737","","","","10:25","11:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"HU7211","","HU7212","北京-昆明","PEK","","D","B2492","B763","","","","8:10","11:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9644","","8L9906","芒市-昆明","LUM","","D","B5248","B737","","","","10:40","11:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"DR6510","","DR6515","版纳-昆明","JHG","","D","B5811","B737","","","","10:35","11:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2569","","MU5741","北京-昆明","PEK","","D","B7590","B738","","","","8:05","11:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2570","","MU2569","清迈-昆明","CNX","","I","B1703","B738","","","","9:30","11:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FM9453","","FM9453","上海-昆明","SHA","","D","B5261","B737","","","","8:15","11:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"PN6394","","PN6394","版纳-昆明","JHG","","D","B8422","A320","","","","10:45","11:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"TV6007","","TV6008","兰州-丽江-昆明","ZGC","LJG","D","B8419","A320","","","","10:45","11:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"HO1121","","HO1122","上海-昆明","SHA","","D","B6640","A320","","","","8:35","11:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8256","","KY8231","临沧-昆明","LNJ","","D","B7871","B737","","","","10:55","11:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"DR6508","","DR6501","芒市-昆明","LUM","","D","B5812","B737","","","","10:50","11:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8308","","KY8233","南昌-昆明","KHN","","D","B1991","B738","","","","9:40","11:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5743","","MU5743","保山-昆明","BSD","","D","B5270","B737","","","","10:55","12:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"SC4873","","SC4874","烟台-济南-昆明","YNT","TNA","D","B1931","B738","","","","8:50","12:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8529","","3U8530","杭州-昆明","HGH","","D","B6697","A320","","","","9:00","12:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA4413","","CA4414","成都-昆明","CTU","","D","B6941","A320","","","","10:30","12:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"GS7855","","GS7856","天津-昆明","TSN","","D","B8659","A330","","","","8:25","12:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9894","","8L9711","珠海-昆明","ZUH","","D","B1588","B738","","","","10:10","12:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5717","Y","MU5749","北京-昆明","PEK","","D","B1791","B738","","","","8:30","12:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5723","","MU5723","版纳-昆明","JHG","","D","B5267","B737","","","","11:10","12:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU9742","","MU2561","北京-保山-昆明","PEK","BSD","D","B5276","B737","","","","11:10","12:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5757","","MU5967","芒市-昆明","LUM","","D","B2503","B737","","","","11:15","12:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3901","","CZ3902","北京-昆明","PEK","","D","B6111","A333","","","","9:05","12:23","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2590","","MU5757","万象-昆明","VTE","","I","B6146","B738","","","","10:50","12:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
