FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
KY8298,,,B2679,长春-石家庄-昆明,SJW,D,B737,,2017/7/3 23:20,,33-计划,,REG,REG,,PAX,,,0,YAG,CGQ,,,,
MU7183,,MU2144,B2682,北京-昆明,,D,B737,,2017/7/3 15:40,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
CF9018,,CF9017,B2824,南京-昆明,,D,B757,323,2017/7/3 8:55,,33-计划,,REG,REG,,CGO,,,0,UNK,NKG,,,,
CZ6370,,CZ6370,B2916,版纳-昆明,,D,B737,,2017/7/3 19:53,,33-计划,,REG,REG,,PAX,,,0,YAG,JHG,,,,
CZ6369,,CZ6369,B2916,郑州-昆明,,D,B737,,2017/7/3 15:43,,33-计划,,REG,REG,,PAX,,,0,YAG,CGO,,,,
KY8206,,,B5025,哈尔滨-济南-昆明,TNA,D,B737,,2017/7/3 23:10,,33-计划,,REG,REG,,PAX,,,0,YAG,HRB,,,,
KY8248,,,B5026,芒市-昆明,,D,B737,,2017/7/4 0:50,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
KY8246,,KY8243,B5026,芒市-昆明,,D,B737,,2017/7/3 15:55,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
KY8244,,KY8247,B5026,普洱-昆明,,D,B737,,2017/7/3 20:55,,33-计划,,REG,REG,,PAX,,,0,YAG,SYM,,,,
MF8405,,MF8406,B5029,厦门-昆明,,D,B737,158,2017/7/3 10:50,,33-计划,,REG,REG,,PAX,,,0,YAG,XMN,,,,
MU5952,,,B5054,腾冲-昆明,,D,B737,,2017/7/3 20:00,,33-计划,,REG,REG,,PAX,,,0,CES,TCZ,,,,
MU5723,,MU5919,B5054,版纳-昆明,,D,B737,132,2017/7/3 12:15,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5719,,MU5802,B5054,丽江-昆明,,D,B737,,2017/7/3 16:15,,33-计划,,REG,REG,,PAX,,,0,CES,LJG,,,,
CZ3469,,CZ3470,B5068,武汉-昆明,,D,B737,,2017/7/3 16:08,,33-计划,,REG,REG,,PAX,,,0,YAG,WUH,,,,
CZ6977,,CZ6978,B5070,武汉-昆明,,D,B737,,2017/7/3 20:43,,33-计划,,REG,REG,,PAX,,,0,YAG,WUH,,,,
MU5902,,,B5097,版纳-昆明,,D,B737,,2017/7/4 0:35,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5724,,MU5724,B5097,西安-昆明,,D,B737,,2017/7/3 19:50,,33-计划,,REG,REG,,PAX,,,0,CES,XIY,,,,
CZ3415,,CZ3416,B5113,广州-昆明,,D,B738,136,2017/7/3 14:08,,33-计划,,REG,REG,,PAX,,,0,YAG,CAN,,,,
HU7235,,HU7236,B5138,广州-昆明,,D,B738,,2017/7/3 18:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CAN,,,,
NS3269,,NS3270,B5212,石家庄-昆明,,D,B737,,2017/7/3 19:20,,33-计划,,REG,REG,,PAX,,,0,YAG,SJW,,,,
CA1487,,CA1488,B5213,北京-达县-昆明,DAX,D,B737,144,2017/7/3 14:20,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
MU5944,,,B5225,大理-昆明,,D,B737,,2017/7/3 18:40,,33-计划,,REG,REG,,PAX,,,0,CES,DLU,,,,
MU5928,,MU5815,B5231,文山-昆明,,D,B737,122,2017/7/3 13:00,,33-计划,,REG,REG,,PAX,,,0,CES,WNH,,,,
MU5804,,,B5231,上海-昆明,,D,B737,,2017/7/3 23:00,,33-计划,,REG,REG,,PAX,,,0,CES,SHA,,,,
MU5926,,,B5242,丽江-昆明,,D,B737,,2017/7/3 20:30,,33-计划,,REG,REG,,PAX,,,0,CES,LJG,,,,
MU5922,,,B5243,丽江-昆明,,D,B737,,2017/7/3 23:55,,33-计划,,REG,REG,,PAX,,,0,CES,LJG,,,,
MU5744,,MU5744,B5243,广州-昆明,,D,B737,,2017/7/3 19:25,,33-计划,,REG,REG,,PAX,,,0,CES,CAN,,,,
MU5743,,MU5743,B5243,保山-昆明,,D,B737,131,2017/7/3 12:00,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
MU9756,,MU5981,B5245,保山-昆明,,D,B737,124,2017/7/3 11:30,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
MU5982,,MU5760,B5245,保山-昆明,,D,B737,,2017/7/3 15:40,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
8L9542,,8L9906,B5248,文山-昆明,,D,B737,,2017/7/3 17:30,,33-计划,,REG,REG,,SPE,,,0,YAG,WNH,,,,
8L9915,,8L9541,B5248,版纳-昆明,,D,B737,160,2017/7/3 9:40,,33-计划,,REG,REG,,PAX,,,0,YAG,JHG,,,,
8L9802,,8L9519,B5249,丽江-昆明,,D,B737,167,2017/7/3 8:15,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
8L9520,,8L9851,B5249,芒市-昆明,,D,B737,160,2017/7/3 13:45,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
MU5892,,MU5740,B5255,普洱-昆明,,D,B737,133,2017/7/3 10:35,,33-计划,,REG,REG,,PAX,,,0,CES,SYM,,,,
MU5737,,MU2571,B5255,大理-昆明,,D,B737,110,2017/7/3 14:25,,33-计划,,REG,REG,,PAX,,,0,CES,DLU,,,,
MU2572,,,B5255,加德-昆明,,I,B737,,2017/7/3 23:30,,33-计划,,REG,REG,,PAX,,,0,CES,KTM,,,,
MU5988,,MU5706,B5256,保山-昆明,,D,B737,,2017/7/3 19:30,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
MU5461,,MU7184,B5257,温州-昆明,,D,B737,,2017/7/3 18:25,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
MU2143,,MU5462,B5257,太原-昆明,,D,B737,112,2017/7/3 10:30,,33-计划,,REG,REG,,PAX,,,0,CES,TYN,,,,
FM9454,,FM9454,B5261,版纳-昆明,,D,B737,,2017/7/3 15:45,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
FM9453,,FM9453,B5261,上海-昆明,,D,B737,119,2017/7/3 11:45,,33-计划,,REG,REG,,PAX,,,0,CES,SHA,,,,
MU5974,,,B5263,芒市-昆明,,D,B737,510,2017/7/3 13:20,,33-计划,,REG,REG,,PAX,,,0,CES,LUM,,,,
MU5747,,MU5973,B5263,版纳-昆明,,D,B737,131,2017/7/3 8:35,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5878,,,B5265,杭州-昆明,,D,B737,,2017/7/3 21:55,,,,REG,REG,,PAX,,,0,CES,HGH,,,,
MU5741,,MU5877,B5265,版纳-昆明,,D,B737,123,2017/7/3 11:20,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5914,,,B5267,版纳-昆明,,D,B737,,2017/7/3 22:20,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5816,,MU5732,B5267,上海-六盘水-昆明,LPF,D,B737,128,2017/7/3 13:15,,33-计划,,REG,REG,,PAX,,,0,CES,SHA,,,,
MU5771,,MU5748,B5267,西昌-昆明,,D,B737,,2017/7/3 17:40,,33-计划,,REG,REG,,PAX,,,0,CES,XIC,,,,
8L9644,,,B5268,芒市-昆明,,D,B737,,2017/7/3 20:10,,33-计划,,REG,REG,,PAX,,,0,YAG,LUM,,,,
MU5894,,MU5717,B5270,普洱-昆明,,D,B737,126,2017/7/3 13:05,,33-计划,,REG,REG,,PAX,,,0,CES,SYM,,,,
MU5884,,,B5270,湛江-昆明,,D,B737,,2017/7/3 22:20,,33-计划,,REG,REG,,PAX,,,0,CES,ZHA,,,,
MU5803,,MU5883,B5270,腾冲-昆明,,D,B737,,2017/7/3 16:55,,33-计划,,REG,REG,,PAX,,,0,CES,TCZ,,,,
MU5836,,,B5271,汕头-昆明,,D,B737,,2017/7/3 17:15,,33-计划,,REG,REG,,PAX,,,0,CES,SWA,,,,
MU5964,,MU2597,B5276,临沧-昆明,,D,B737,101,2017/7/3 13:35,,33-计划,,REG,REG,,PAX,,,0,CES,LNJ,,,,
MU2598,,,B5276,清莱-昆明,,I,B737,,2017/7/3 18:50,,33-计划,,REG,REG,,PAX,,,0,CES,CEI,,,,
MU9744,,MU9743,B5282,北京-昭通-昆明,ZAT,D,B737,514,2017/7/3 11:45,,33-计划,,REG,REG,,PAX,,,0,CES,PEK,,,,
8L9972,,,B5292,海口-昆明,,D,B737,,2017/7/3 23:40,,33-计划,,REG,REG,,PAX,,,0,YAG,HAK,,,,
8L9905,,8L9841,B5292,版纳-昆明,,D,B737,168,2017/7/3 7:50,,33-计划,,REG,REG,,PAX,,,0,YAG,JHG,,,,
8L9842,,8L9971,B5292,普洱-昆明,,D,B737,525R,2017/7/3 12:10,,33-计划,,REG,REG,,PAX,,,0,YAG,SYM,,,,
MU5715,,,B5293,芒市-昆明,,D,B737,,2017/7/3 18:35,,33-计划,,REG,REG,,PAX,,,0,CES,LUM,,,,
MU5711,,MU9738,B5293,版纳-昆明,,D,B737,508,2017/7/3 9:55,,33-计划,,REG,REG,,PAX,,,0,CES,JHG,,,,
MU5966,,MU5983,B5295,沧源-昆明,,D,B737,115,2017/7/3 14:05,,33-计划,,REG,REG,,PAX,,,0,CES,CWJ,,,,
MU5946,,MU5965,B5295,澜沧-昆明,,D,B737,125,2017/7/3 10:20,,33-计划,,REG,REG,,PAX,,,0,CES,JMJ,,,,
MU5986,,,B5295,保山-昆明,,D,B737,,2017/7/3 22:55,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
MU5984,,MU5742,B5295,保山-昆明,,D,B737,,2017/7/3 18:45,,33-计划,,REG,REG,,PAX,,,0,CES,BSD,,,,
MF8429,,,B5308,厦门-昆明,,D,B738,,2017/7/3 23:45,,33-计划,,REG,REG,,PAX,,,0,YAG,XMN,,,,
CZ3747,,CZ3748,B5310,珠海-昆明,,D,B738,,2017/7/3 20:28,,33-计划,,REG,REG,,PAX,,,0,YAG,ZUH,,,,
MF8641,,MF8476,B5319,泉州-珠海-昆明,ZUH,D,B738,,2017/7/3 19:05,,33-计划,,REG,REG,,PAX,,,0,YAG,JJN,,,,
FM9541,,FM9542,B5320,郑州-昆明,,D,B738,121,2017/7/3 10:35,,33-计划,,REG,REG,,PAX,,,0,CES,CGO,,,,
CZ3542,,,B5340,杭州-武汉-昆明,WUH,D,B738,,2017/7/4 0:08,,33-计划,,REG,REG,,PAX,,,0,YAG,HGH,,,,
8L9984,,,B5359,西安-昆明,,D,B738,,2017/7/4 1:10,,33-计划,,REG,REG,,PAX,,,0,YAG,XIY,,,,
8L9864,,8L9983,B5359,徐州-重庆-昆明,CKG,D,B738,,2017/7/3 17:20,,33-计划,,REG,REG,,PAX,,,0,YAG,XUZ,,,,
ZH9415,,,B5362,深圳-昆明,,D,B737,,2017/7/3 23:35,,33-计划,,REG,REG,,PAX,,,0,YAG,SZX,,,,
