FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
8L9892,大连-武汉-昆明,8L9555,,B7990,WUH,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:40,DLC,2017/7/11 20:30
8L9894,珠海-昆明,8L9747,Y,B5407,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:10,ZUH,2017/7/11 10:10
8L9898,温州-昆明,8L9985,,B6947,,D,A320,,,31-预计,REG,2017/7/11,,PAX,,,0,2017/7/11 14:40,WNZ,2017/7/11 11:30
8L9903,版纳-昆明,8L9945,,B5805,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:05,JHG,2017/7/11 21:00
8L9905,版纳-昆明,8L9623,,B5272,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 8:05,JHG,2017/7/11 7:00
8L9913,版纳-昆明,,,B6221,,D,A319,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:50,JHG,2017/7/12 0:50
8L9915,版纳-昆明,8L9871,,B8446,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:40,JHG,2017/7/11 8:40
8L9932,芒市-昆明,8L9711,,B5249,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 13:45,LUM,2017/7/11 12:45
8L9942,大理-昆明,8L9971,,B6198,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:05,DLU,2017/7/11 17:05
8L9946,成都-昆明,,,B1563,,D,B737,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:30,CTU,2017/7/11 23:50
8L9948,成都-昆明,8L9855,,B7989,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:45,CTU,2017/7/11 13:10
8L9956,郑州-昆明,,,B1586,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 16:50,CGO,2017/7/11 14:05
8L9958,武汉-昆明,8L9869,,B8732,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:40,WUH,2017/7/11 10:20
8L9966,三亚-昆明,,,B5971,,D,A333,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:25,SYX,2017/7/11 14:20
8L9972,海口-昆明,,,B6198,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:40,HAK,2017/7/11 21:45
8L9974,郑州-昆明,,,B1798,,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:45,CGO,2017/7/11 23:00
8L9980,深圳-昆明,,,B6800,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 22:30,SZX,2017/7/11 19:55
8L9984,西安-昆明,,,B6809,,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:10,XIY,2017/7/11 22:55
8L9986,呼和-太原-昆明,,,B6947,TYN,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:35,HET,2017/7/11 22:45
8L9988,北京-昆明,8L9801,,B8731,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 10:00,PEK,2017/7/11 6:20
8L9992,乌鲁-兰州-昆明,,,B7993,ZGC,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:20,URC,2017/7/11 23:10
8L9994,西安-昆明,8L9891,,B7990,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:50,XIY,2017/7/11 6:25
8L9996,银川-昆明,8L9679,,B7992,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 12:45,INC,2017/7/11 10:05
9C8595,沈阳-绵阳-昆明,9C8596,,B6310,MIG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:25,SHE,2017/7/11 17:55
9C8729,扬州泰州-昆明,9C8730,,B8580,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:55,YTY,2017/7/11 14:05
9C8823,上海-遵义-昆明,9C8824,,B6645,ZYI,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:35,SHA,2017/7/11 14:15
9C8827,上海-芷江-昆明,9C8828,,B8012,HJJ,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:15,SHA,2017/7/11 9:45
9C8829,上海-常德-昆明,9C8830,,B8872,CGD,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:35,SHA,2017/7/11 16:30
9C8937,石家庄-昆明,9C8938,,B6972,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:45,SJW,2017/7/11 10:35
A67106,南昌-昆明,A67105,,B8285,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:10,KHN,2017/7/11 14:45
A67120,呼和-南京-昆明,,,B8318,NKG,D,A321,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:00,HET,2017/7/11 22:00
AK101,吉隆坡-昆明,AK100,,9MAFF,,I,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:55,KUL,2017/7/11 13:00
B7289,高雄-昆明,B7290,,B16219,,R,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:15,KHH,2017/7/11 8:10
BK2744,版纳-昆明,BK2898,,B5562,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:15,JHG,2017/7/11 16:15
BK2797,长沙-昆明,BK2845,,B1963,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:10,HHA,2017/7/11 7:05
BK2846,合肥-昆明,BK2798,,B1963,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:55,HFE,2017/7/11 14:10
BK2897,天津-昆明,BK2743,,B5562,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:20,TSN,2017/7/11 9:45
CA1401,天津-昆明,CA1402,,B1782,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 19:15,TSN,2017/7/11 15:40
CA1403,北京-昆明,CA1404,,B5442,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 10:25,PEK,2017/7/11 7:00
CA1487,北京-达县-昆明,CA1488,,B5228,DAX,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:20,PEK,2017/7/11 12:40
CA1751,杭州-昆明,CA1956,,B6031,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 10:30,HGH,2017/7/11 7:25
CA1753,杭州-昆明,CA1754,,B6032,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 18:35,HGH,2017/7/11 15:25
CA1937,上海-昆明,CA1938,,B6882,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:20,PVG,2017/7/11 16:00
CA1955,温州-昆明,CA1752,,B6677,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 11:10,WNZ,2017/7/11 8:00
CA1987,温州-昆明,CA1988,,B8337,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:05,WNZ,2017/7/11 16:50
CA415,成都-昆明,CA415,,B6038,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:15,CTU,2017/7/11 7:40
CA416,仰光-昆明,CA416,,B6038,,I,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:45,RGN,2017/7/11 13:45
CA4172,北京-昆明,CA4173,,B1686,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 15:25,PEK,2017/7/11 11:50
CA4174,北京-昆明,,,B1686,,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 1:15,PEK,2017/7/11 21:40
CA4176,沈阳-昆明,CA4460,,B6847,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:30,SHE,2017/7/11 12:10
CA4276,哈尔滨-昆明,CA4275,,B6915,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:20,HRB,2017/7/11 9:40
CA4413,成都-昆明,CA4414,Y,B8491,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 12:05,CTU,2017/7/11 10:30
CA4417,成都-昆明,,,B8490,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:30,CTU,2017/7/11 20:45
CA4459,成都-昆明,,,B6916,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 23:15,CTU,2017/7/11 21:40
CA5827,大连-南阳-昆明,,,B3377,NNY,D,CRJ9,,,33-计划,CSF,2017/7/11,,PAX,,G52627,SF,2017/7/11 18:15,DLC,2017/7/11 15:45
CA8929,大连-郑州-昆明,,,B5642,CGO,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:40,DLC,2017/7/11 20:00
CF9018,南京-昆明,CF9017,,B2827,,D,B757,,,33-计划,REG,2017/7/11,,CGO,,,0,2017/7/11 8:55,NKG,2017/7/11 6:00
CX5760,香港-昆明,,,BHLB,,R,A330,,,33-计划,CSF,2017/7/11,,PAX,,KA760,SF,2017/7/11 14:20,HKG,2017/7/11 11:50
CZ3247,桂林-昆明,CZ3248,,B5247,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:48,KWL,2017/7/11 12:20
CZ3407,广州-昆明,CZ3408,,B6622,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:28,CAN,2017/7/11 13:55
CZ3409,广州-昆明,CZ3410,,B6685,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:43,CAN,2017/7/11 8:20
CZ3415,广州-昆明,CZ3416,,B1737,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:03,CAN,2017/7/11 11:35
CZ3419,广州-昆明,,,B6292,,D,A320,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:48,CAN,2017/7/11 22:15
CZ3431,海口-昆明,CZ3432,,B1696,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:48,HAK,2017/7/11 8:05
CZ3451,深圳-昆明,CZ3451,,B2395,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:08,SZX,2017/7/11 13:45
CZ3452,丽江-昆明,CZ3452,,B2395,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:08,LJG,2017/7/11 19:15
CZ3459,深圳-昆明,CZ3460,,B6630,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:23,SZX,2017/7/11 8:00
CZ3467,长沙-昆明,CZ3468,,B6293,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:23,HHA,2017/7/11 18:25
CZ3469,武汉-昆明,CZ3470,,B5069,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:08,WUH,2017/7/11 13:50
CZ3481,广州-昆明,CZ3481,,B6208,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:18,CAN,2017/7/11 7:00
CZ3482,大理-昆明,CZ3482,,B6208,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:58,DLU,2017/7/11 12:10
CZ3487,广州-昆明,CZ3487,,B6020,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:08,CAN,2017/7/11 12:35
CZ3488,丽江-昆明,CZ3488,,B6020,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:08,LJG,2017/7/11 18:05
CZ3489,广州-昆明,CZ3490,,B6683,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:58,CAN,2017/7/11 18:30
CZ3491,郑州-昆明,CZ3491,,B2916,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:33,CGO,2017/7/11 7:55
CZ3492,版纳-昆明,CZ3492,,B2916,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:23,JHG,2017/7/11 13:25
CZ3495,郑州-昆明,CZ3496,,B5232,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:33,CGO,2017/7/11 13:55
CZ3542,杭州-武汉-昆明,,,B5041,WUH,D,B738,,,33-计划,REG,2017/7/12,,PAX,,,0,2017/7/12 0:15,HGH,2017/7/11 21:55
CZ3677,上海-昆明,CZ3678,,B6702,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:53,PVG,2017/7/11 7:40
CZ3747,珠海-昆明,CZ3748,,B5743,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:28,ZUH,2017/7/11 18:40
CZ3857,汕头-昆明,CZ3858,,B5748,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:58,SWA,2017/7/11 8:40
CZ3863,汕头-南宁-昆明,CZ3864,,B5640,NNG,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:53,SWA,2017/7/11 18:35
CZ3901,北京-昆明,CZ3902,,B6111,,D,A333,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:23,PEK,2017/7/11 9:05
CZ3997,北京-昆明,,,B6111,,D,A333,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:03,PEK,2017/7/11 19:30
CZ5024,北京-昆明,,,B5930,,D,A33E,,,33-计划,CSF,2017/7/11,,PAX,,MU5706,SF,2017/7/11 22:15,PEK,2017/7/11 18:40
CZ5152,上海-兴义-昆明,,,B1907,ACX,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MU5818,SF,2017/7/11 20:20,SHA,2017/7/11 19:25
CZ5154,上海-昆明,,Y,B6928,,D,A320,,,33-计划,CSF,2017/7/11,,PAX,,MU5812,SF,2017/7/11 19:50,SHA,2017/7/11 16:30
CZ5307,厦门-昆明,,,B5383,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MF8405,SF,2017/7/11 10:50,XMN,2017/7/11 8:05
CZ5319,厦门-昆明,,,B5688,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MF8417,SF,2017/7/11 14:40,XMN,2017/7/11 12:00
CZ5329,福州-昆明,,,B5847,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MF8427,SF,2017/7/11 11:00,FOC,2017/7/11 8:05
CZ5331,厦门-昆明,,,B5152,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MF8429,SF,2017/7/11 23:45,XMN,2017/7/11 21:00
CZ5361,杭州-武汉-昆明,,,B6889,WUH,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MF8461,SF,2017/7/11 18:15,HGH,2017/7/11 15:55
CZ5375,福州-昆明,,,B5038,,D,B737,,,33-计划,CSF,2017/7/11,,PAX,,MF8475,SF,2017/7/11 19:05,FOC,2017/7/11 15:55
CZ6159,北京-昆明,CZ6160,Y,B6098,,D,A333,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:13,PEK,2017/7/11 14:50
CZ6269,哈尔滨-西安-昆明,CZ6270,,B6276,XIY,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:43,HRB,2017/7/11 12:30
CZ6293,大连-太原-昆明,CZ6294,,B1651,TYN,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:38,DLC,2017/7/11 13:50
CZ6369,郑州-昆明,CZ6369,,B2622,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:43,CGO,2017/7/11 13:00
CZ6370,版纳-昆明,CZ6370,,B2622,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:53,JHG,2017/7/11 18:55
CZ6403,沈阳-重庆-昆明,CZ6404,,B6737,CKG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:38,SHE,2017/7/11 13:05
CZ6415,沈阳-西安-昆明,CZ6416,,B6739,XIY,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:58,SHE,2017/7/11 16:50
CZ6425,大连-武汉-昆明,CZ6426,,B9958,WUH,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:43,DLC,2017/7/11 10:40
CZ6459,长春-重庆-昆明,CZ6460,,B9915,CKG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:48,CGQ,2017/7/11 13:20
CZ6597,三亚-昆明,CZ6598,,B8676,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:58,SYX,2017/7/11 17:50
CZ6601,郑州-昆明,CZ6602,,B5238,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:58,CGO,2017/7/11 18:20
CZ6799,上海-昆明,CZ6800,,B8869,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:13,PVG,2017/7/11 14:50
CZ6923,深圳-昆明,CZ6924,,B1845,,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:03,SZX,2017/7/11 18:40
