FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
CZ3677,上海-昆明,CZ3678,,B6682,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:53,PVG,2017/7/8 7:40
CZ3747,珠海-昆明,CZ3748,,B5165,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:28,ZUH,2017/7/8 18:40
CZ3857,汕头-昆明,CZ3858,,B5716,,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 10:58,SWA,2017/7/8 8:40
CZ3863,汕头-南宁-昆明,CZ3864,,B5640,NNG,D,B738,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:53,SWA,2017/7/8 18:35
CZ3901,北京-昆明,CZ3902,,B6111,,D,A333,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:23,PEK,2017/7/8 9:05
CZ3997,北京-昆明,,,B6111,,D,A333,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 23:03,PEK,2017/7/8 19:30
CZ5016,上海-昆明,,,B7589,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MU5802,SF,2017/7/8 16:05,SHA,2017/7/8 12:35
CZ5024,北京-昆明,,,B6148,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MU5706,SF,2017/7/8 22:15,PEK,2017/7/8 18:40
CZ5152,上海-兴义-昆明,,,B1702,ACX,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MU5818,SF,2017/7/8 20:20,SHA,2017/7/8 19:25
CZ5154,上海-昆明,,,B1792,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MU5812,SF,2017/7/8 19:50,SHA,2017/7/8 16:30
CZ5307,厦门-昆明,,,B5038,,D,B737,,,33-计划,CSF,2017/7/8,,PAX,,MF8405,SF,2017/7/8 10:50,XMN,2017/7/8 8:05
