FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"8L9958","B8732","","","A320","8L9869","武汉-昆明","WUH","","D","2017/7/10 10:20","","12:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"ZH9793","B6937","","","A322","ZH9794","泉州-昆明","JJN","","D","2017/7/10 10:00","","12:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"KY8322","B7873","","","B738","KY8233","成都-昆明","CTU","","D","2017/7/10 10:45","","12:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"8L9966","B8446","","","A320","8L9897","三亚-昆明","SYX","","D","2017/7/10 10:30","","12:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"SC4695","B7885","","","B738","SC4696","青岛-南京-昆明","TAO","NKG","D","2017/7/10 9:40","","12:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5862","B1788","","","B738","MU2031","重庆-昆明","CKG","","D","2017/7/10 10:55","","12:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5842","B7170","","","B738","MU5725","成都-昆明","CTU","","D","2017/7/10 10:50","","12:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"FM9451","B2567","","","B763","FM9452","上海-昆明","SHA","","D","2017/7/10 9:00","","12:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5942","B5809","","","B737","MU5815","大理-昆明","DLU","","D","2017/7/10 11:30","","12:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5958","B5293","","","B737","MU5717","临沧-昆明","LNJ","","D","2017/7/10 11:30","","12:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU2590","B6148","","","B738","MU5757","万象-昆明","VTE","","I","2017/7/10 10:50","","12:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
