FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"O36944","","O36943","杭州-昆明","HGH","","D","B2828","B757","","","","8:40","","","","33-计划","2017/6/28","REG","REG","","CGO","","","00","YAG"
"OQ2327","","OQ2328","重庆-昆明","CKG","","D","B2345","A320","","","","8:43","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"3U8638","","3U8107","岘港-广州-昆明","DAD","CAN","M","B1661","A320","","","","8:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9556","","8L9651","海口-昆明","HAK","","D","B6809","B738","","","","8:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9994","","8L9991","西安-昆明","XIY","","D","B1798","B738","","","","8:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CF9018","","CF9017","南京-昆明","NKG","","D","B2824","B757","","","","8:55","","","","33-计划","2017/6/28","REG","REG","","CGO","","","00","UNK"
"MU5852","","MU5741","成都-昆明","CTU","","D","B6249","B738","","","","8:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"3U8661","","3U8259","成都-昆明","CTU","","D","B1881","A320","","","","9:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2567","","MU2567","广州-昆明","CAN","","D","B6145","B738","","","","9:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"BK2797","","BK2715","长沙-昆明","HHA","","D","B6026","B738","","","","9:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9856","","8L9869","绵阳-昆明","MIG","","D","B7990","B738","","","","9:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA415","","CA415","成都-昆明","CTU","","D","B6478","A319","","","","9:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8286","","KY8273","广州-昆明","CAN","","D","B1507","B738","","","","9:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ3481","","CZ3481","广州-昆明","CAN","","D","B6409","A319","","","","9:18","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2359","","MU2360","西宁-昆明","XNN","","D","B6876","A320","","","","9:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5764","","MU5835","深圳-昆明","SZX","","D","B1703","B738","","","","9:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU2249","","MU2250","兰州-昆明","ZGC","","D","B1609","A320","","","","9:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"HU7087","","HU7088","海口-昆明","HAK","","D","B5288","B737","","","","9:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2495","","MU2496","成都-昆明","CTU","","D","B5731","B738","","","","9:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU2756","","MU2756","版纳-昆明","JHG","","D","B6456","A319","","","","9:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"ZH9411","","ZH9412","深圳-昆明","SZX","","D","B6165","A319","","","","9:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9652","","8L9623","郑州-昆明","CGO","","D","B7991","B738","","","","9:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"SC8827","","SC8827","济南-昆明","TNA","","D","B1745","B738","","","","9:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ3431","","CZ3432","海口-昆明","HAK","","D","B1805","A320","","","","9:48","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5469","","MU5470","南昌-昆明","KHN","","D","B6878","A322","","","","9:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"QV815","","QV816","万象-昆明","VTE","","I","RDPL34223","A320","","","","9:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"SC4769","","SC4770","厦门-昆明","XMN","","D","B1510","B738","","","","9:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KN2381","","KN5212","石家庄-昆明","SJW","","D","B7370","B738","","","","9:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5711","","MU5739","版纳-昆明","JHG","","D","B5295","B737","","","","9:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"ICU735","","ICU736","天津-昆明","TSN","","D","B3256","G280","","","","9:55","","","","33-计划","2017/6/28","REG","REG","","SPE","","","00","YAG"
"3U8034","","3U8205","丽江-昆明","LJG","","D","B8326","A320","","","","9:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9988","","8L9985","北京-昆明","PEK","","D","B1825","A320","","","","10:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5740","","MU741","广州-昆明","CAN","","D","B5527","B738","","","","10:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"8L9850","","8L9923","迪庆-昆明","DIG","","D","B5823","B737","","","","10:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2181","","MU2182","西安-昆明","XIY","","D","B9905","A321","","","","10:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU2497","","MU2494","武汉-昆明","WUH","","D","B7876","B738","","","","10:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5946","","MU5965","澜沧-昆明","JMJ","","D","B5259","B737","","","","10:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3459","","CZ3460","深圳-昆明","SZX","","D","B2396","A320","","","","10:23","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"GS7653","","GS7654","西安-昆明","XIY","","D","B8062","A320","","","","10:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"HU7163","","HU7164","深圳-昆明","SZX","","D","B5620","B738","","","","10:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2205","","MU2206","银川-昆明","INC","","D","B6877","A320","","","","10:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CA1751","","CA1956","杭州-昆明","HGH","","D","B6024","A319","","","","10:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2143","","MU5462","太原-昆明","TYN","","D","B2682","B737","","","","10:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU2705","","MU2705","南京-昆明","NKG","","D","B6472","A319","","","","10:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3491","","CZ3491","郑州-昆明","CGO","","D","B2620","B737","","","","10:33","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA1403","","CA1404","北京-昆明","PEK","","D","B7180","B738","","","","10:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"FM9541","","FM9542","郑州-昆明","CGO","","D","B2688","B738","","","","10:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5892","","MU5989","普洱-昆明","SYM","","D","B5271","B737","","","","10:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"JD5165","","JD5791","丽江-昆明","LJG","","D","B6182","A319","","","","10:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5476","","MU5475","合肥-昆明","HFE","","D","B6802","A320","","","","10:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5962","","MU9713","临沧-昆明","LNJ","","D","B2640","B737","","","","10:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3409","","CZ3410","广州-昆明","CAN","","D","B9932","A320","","","","10:43","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"9C8953","","9C8954","上海-昆明","SHA","","D","B6562","A320","","","","10:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"FM9539","","FM9540","温州-昆明","WNZ","","D","B5185","B738","","","","10:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"KY8252","","KY8245","保山-昆明","BSD","","D","B7870","B737","","","","10:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MF8405","","MF8406","厦门-昆明","XMN","","D","B5847","B738","","","","10:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5497","","MU5498","青岛-昆明","TAO","","D","B2413","A320","","","","10:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5655","","MU5711","杭州-昆明","HGH","","D","B6870","A320","","","","10:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3677","","CZ3678","上海-昆明","PVG","","D","B6656","A320","","","","10:53","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"3U8723","","3U8221","北京-昆明","PEK","","D","B1665","A320","","","","10:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8220","","KY8203","深圳-昆明","SZX","","D","B5673","B738","","","","10:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5811","","MU5740","迪庆-昆明","DIG","","D","B6142","B737","","","","10:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3857","","CZ3858","汕头-昆明","SWA","","D","B5837","B738","","","","10:58","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MF8427","","MF8428","福州-昆明","FOC","","D","B5355","B738","","","","11:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5816","","MU5732","上海-昆明","SHA","","D","B5231","B737","","","","11:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"ZH9265","","ZH9266","西安-昆明","XIY","","D","B6568","A320","","","","11:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA1955","","CA1752","温州-昆明","WNZ","","D","B6773","A320","","","","11:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"ZH9561","","ZH9562","南京-昆明","NKG","","D","B5400","B738","","","","11:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"DR6570","","DR6559","北海-昆明","BHY","","D","B1593","B738","","","","11:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"JD5789","","JD5790","版纳-昆明","JHG","","D","B8170","A320","","","","11:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5741","","MU5764","版纳-昆明","JHG","","D","B5225","B737","","","","11:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"UO273","","UO274","香港-昆明","HKG","","R","BLPH","A320","","","","11:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"FD582","","FD583","廊曼-昆明","DMK","","I","HSBBE","A320","","","","11:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2035","","MU2035","北京-昆明","PEK","","D","B6148","B738","","","","11:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU9756","","MU5981","保山-昆明","BSD","","D","B5802","B737","","","","11:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"HU7211","Y","HU7212","北京-昆明","PEK","","D","B2730","B787","","","","11:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"DR6510","","DR6515","版纳-昆明","JHG","","D","B5829","B737","","","","11:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2596","","MU2029","清迈-昆明","CNX","","I","B5701","B738","","","","11:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5716","","MU2593","北京-昆明","PEK","","D","B6143","B738","","","","11:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"FM9453","","FM9453","上海-昆明","SHA","","D","B5261","B737","","","","11:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU9744","","MU5717","北京-昭通-昆明","PEK","ZAT","D","B5282","B737","","","","11:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"PN6394","","PN6394","版纳-昆明","JHG","","D","B6811","A320","","","","11:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"TV6007","","TV6008","兰州-丽江-昆明","ZGC","LJG","D","B8419","A320","","","","11:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"HO1121","","HO1122","上海-昆明","SHA","","D","B6901","A320","","","","11:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8256","","KY8209","临沧-昆明","LNJ","","D","B7871","B737","157","","","11:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8308","","KY8275","南昌-昆明","KHN","","D","B6493","B738","","","","11:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"DR6508","","DR6501","芒市-昆明","LUM","","D","B6109","B737","","","","12:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5743","","MU9731","保山-昆明","BSD","","D","B5815","B737","","","","12:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"SC4873","","SC4874","烟台-济南-昆明","YNT","TNA","D","B1931","B738","","","","12:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"3U8130","","3U8967","版纳-昆明","JHG","","D","B6449","A319","","","","12:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"3U8529","","3U8530","杭州-昆明","HGH","","D","B1883","A320","","","","12:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA4413","","CA4414","成都-昆明","CTU","","D","B6822","A320","","","","12:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"GS7855","","GS7856","天津-昆明","TSN","","D","B8776","A330","","","","12:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9894","","8L9855","珠海-昆明","ZUH","","D","B1587","B738","","","","12:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9909","","8L9689","版纳-昆明","JHG","","D","B6221","A319","","","","12:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5717","","MU5749","北京-昆明","PEK","","D","B6147","B738","","","","12:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"8L9842","","8L9906","普洱-昆明","SYM","","D","B5272","B737","","","","12:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5723","","","版纳-昆明","JHG","","D","B5054","B737","","","","12:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5757","","MU9738","芒市-昆明","LUM","","D","B2502","B737","","","","12:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3901","","CZ3902","北京-昆明","PEK","","D","B6098","A333","","","","12:23","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5942","","MU5919","大理-昆明","DLU","","D","B5820","B737","","","","12:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5958","","MU733","临沧-昆明","LNJ","","D","B5265","B737","","","","12:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"ZH9773","","ZH9774","南昌-昆明","KHN","","D","B6316","A320","","","","12:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9806","","8L9805","丽江-昆明","LJG","","D","B6947","A320","","","","12:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"FM9451","","FM9452","上海-昆明","SHA","","D","B2567","B763","","","","12:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5842","","MU2597","成都-昆明","CTU","","D","B1908","B738","","","","12:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5862","","MU5757","重庆-昆明","CKG","","D","B7590","B738","","","","12:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"8L9966","","8L9979","三亚-昆明","SYX","","D","B5971","A333","","","","12:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8322","","KY8233","成都-昆明","CTU","","D","B6495","B738","","","","12:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"SC4695","","SC4696","青岛-南京-昆明","TAO","NKG","D","B5531","B738","","","","12:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"ZH9793","","ZH9794","泉州-昆明","JJN","","D","B6297","A320","","","","12:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2573","Y","MU2573","北京-昆明","PEK","","D","B1790","B738","","","","12:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"3U8918","","3U8957","厦门-昆明","XMN","","D","B6732","A320","","","","12:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5886","","MU5975","湛江-昆明","ZHA","","D","B5819","B737","","","","12:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3482","","CZ3482","大理-昆明","DLU","","D","B6409","A319","","","","12:58","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5928","","MU5815","文山-昆明","WNH","","D","B5293","B737","","","","13:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5894","","MU5967","普洱-昆明","SYM","","D","B5809","B737","","","","13:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5453","","MU5454","宁波-武汉-昆明","NGB","WUH","D","B1861","A320","","","","13:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU9738","","MU5737","天津-昆明","TSN","","D","B5796","B738","","","","13:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"3U8838","","3U8837","北京-万州-昆明","PEK","WXN","D","B8657","A320","","","","13:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"JD5157","","JD5158","杭州-昆明","HGH","","D","B8678","A330","","","","13:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5683","","MU5684","黎平-昆明","HZH","","D","B6471","A319","","","","13:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"BK2897","","BK2743","天津-昆明","TSN","","D","B5573","B738","","","","13:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5974","","MU757","芒市-昆明","LUM","","D","B5255","B737","","","","13:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU2975","","MU2976","无锡-昆明","WUX","","D","B9902","A320","","","","13:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"TV9893","","TV9819","拉萨-昆明","LXA","","D","B6436","A319","","","","13:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5964","","MU5725","临沧-昆明","LNJ","","D","B5822","B737","","","","13:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"8L9862","","8L9897","合肥-昆明","HFE","","D","B5359","B738","","","","13:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8254","","KY8281","西安-昆明","XIY","","D","B6492","B738","","","","13:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"9C8937","","9C8938","石家庄-昆明","SJW","","D","B1657","A320","","","","13:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"GJ8837","","GJ8838","杭州-珠海-昆明","HGH","ZUH","D","B8985","A320","","","","13:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ3247","","CZ3248","桂林-昆明","KWL","","D","B5300","B738","","","","13:48","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9520","","8L9904","芒市-昆明","LUM","","D","B5292","B737","","","","13:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9852","","8L9908","腾冲-昆明","TCZ","","D","B5249","B737","","","","13:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA1481","","CA1488","天津-运城-昆明","TSN","YCU","D","B5228","B737","","","","13:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"HO1681","","HO1682","南京-毕节-昆明","NKG","BFJ","D","B6395","A320","","","","13:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5732","","MU5809","广州-昆明","CAN","","D","B2230","A320","","","","13:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"3U8948","","3U8761","济南-昆明","TNA","","D","B6697","A320","","","","13:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9922","","8L9851","沧源-昆明","CWJ","","D","B1563","B737","","","","13:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"TG612","","TG613","曼谷-昆明","BKK","","I","","B747","","","","14:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"ZH9533","","ZH9534","无锡-昆明","WUX","","D","B6296","A320","","","","14:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5966","","MU2571","沧源-昆明","CWJ","","D","B5259","B737","","","","14:05","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ3415","","CZ3416","广州-昆明","CAN","","D","B1925","B738","","","","14:08","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU9731","","MU753","长沙-昆明","HHA","","D","B5828","B737","","","","14:10","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"3U8866","","3U8201","宁波-昆明","NGB","","D","B8500","A320","","","","14:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2485","","MU2486","武汉-昆明","WUH","","D","B1961","B738","","","","14:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5437","","MU5438","上海-南充-昆明","PVG","NAO","D","B6465","A319","","","","14:15","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CA1487","","CA1482","北京-达县-昆明","PEK","DAX","D","B5227","B738","","","","14:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CA4276","","CA4275","哈尔滨-昆明","HRB","","D","B6793","A320","","","","14:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KA760","","KA761","香港-昆明","HKG","","R","BHSD","A320","","","","14:20","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ3492","","CZ3492","版纳-昆明","JHG","","D","B2620","B737","","","","14:23","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5737","","MU5959","大理-昆明","DLU","","D","B6142","B737","","","","14:25","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5077","","MU5077","合肥-昆明","HFE","","D","B6617","A320","","","","14:30","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"FTU3021","","FTU3022","广汉-昆明","GHN","","D","B3650","C525","","","","14:30","","","","33-计划","2017/6/28","REG","REG","","GEN","","","00","YAG"
"MU2706","","MU2706","丽江-昆明","LJG","","D","B6472","A319","","","","14:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"MU5776","","MU5849","广州-昆明","CAN","","D","B6146","B738","","","","14:35","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"CZ6403","","CZ6404","沈阳-重庆-昆明","SHE","CKG","D","B6815","A320","","","","14:38","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9866","","8L9875","济南-昆明","TNA","","D","B2677","B738","","","","14:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"JD5792","","JD5166","芒市-昆明","LUM","","D","B6182","A319","","","","14:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MF8417","","MF8418","厦门-昆明","XMN","","D","B5151","B738","","","","14:40","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ6269","","CZ6270","哈尔滨-西安-昆明","HRB","XIY","D","B8847","A32E","","","","14:43","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"8L9948","","8L9889","成都-昆明","CTU","","D","B1586","B738","","","","14:45","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"CZ6459","","CZ6460","长春-重庆-昆明","CGQ","CKG","D","B9960","A321","","","","14:48","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU2030","","MU5707","曼德勒-昆明","MDL","","I","B6145","B738","","","","14:50","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
"DR6580","","","芒市-昆明","LUM","","D","B7088","B737","","","","14:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"KY8258","","KY8307","郑州-昆明","CGO","","D","B1991","B738","","","","14:55","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"3U8854","","3U8853","哈尔滨-徐州-昆明","HRB","XUZ","D","B6590","A321","","","","15:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","YAG"
"MU5505","","MU5588","上海-福州-昆明","PVG","FOC","D","B8571","A325","","","","15:00","","","","33-计划","2017/6/28","REG","REG","","PAX","","","00","CES"
