FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"CA4176","","CA4460","沈阳-昆明","SHE","","D","B6767","A320","","","","16:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"ZH9413","","ZH9414","深圳-昆明","SZX","","D","B5775","B738","","","","16:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3495","","CZ3496","郑州-昆明","CGO","","D","B2916","B737","","","","16:33","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6427","","CZ6428","大连-长沙-昆明","DLC","HHA","D","B9958","A320","","","","16:38","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9874","","8L9955","杭州-赣州-昆明","HGH","KOW","D","B1586","B738","","","","16:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5714","","MU5771","北京-昆明","PEK","","D","B7591","B738","","","","16:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"ZH9789","","ZH9456","泉州-昆明","JJN","","D","B6855","A322","","","","16:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9956","","","郑州-昆明","CGO","","D","B1798","B738","","","","16:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"BK2716","","BK2798","南京-昆明","NKG","","D","B6026","B738","","","","16:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"AK101","","AK100","吉隆坡-昆明","KUL","","I","9MAFF","A320","","","","16:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9710","","8L9597","南京-连城-昆明","NKG","LCX","D","B7991","B738","","","","16:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA1481","","CA1482","天津-运城-昆明","TSN","YCU","D","B5229","B737","","","","17:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"A67106","","A67107","南昌-昆明","KHN","","D","B8285","A321","","","","17:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2207","Y","MU2208","西安-昆明","XIY","","D","B1858","A325","","","","17:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"8L9596","","8L9677","吉隆坡-昆明","KUL","","I","B8445","A320","","","","17:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"BK2744","","BK2898","版纳-昆明","JHG","","D","B5562","B738","","","","17:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8514","Y","3U8668","兰州-重庆-昆明","ZGC","CKG","D","B1665","A320","157","","","17:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2177","","MU2178","宁波-昆明","NGB","","D","B6011","A320","","","","17:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"8L9864","Y","8L9971","徐州-重庆-昆明","XUZ","CKG","D","B5359","B738","168","","","17:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8230","","","腾冲-昆明","TCZ","","D","B2678","B737","","","","17:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3449","","CZ3450","广州-昆明","CAN","","D","B6241","A319","","","","17:33","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR5314","","DR6505","天津-恩施-昆明","TSN","ENH","D","B5830","B737","","","","17:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HO1095","","HO1096","上海-毕节-昆明","SHA","BFJ","D","B6640","A320","","","","17:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9942","","8L9912","大理-昆明","DLU","","D","B5249","B737","","","","17:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9960","","8L9983","宁波-安庆-昆明","NGB","AQG","D","B6221","A319","","","","17:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"KY8262","","KY8301","台州-重庆-昆明","HYN","CKG","D","B1507","B738","","","","17:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
