FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
MU9738,,MU5737,天津-昆明,TSN,,D,B5756,B738,,,,9:35,13:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
JD5165,,JD5791,丽江-昆明,LJG,,D,B6182,A319,,,,9:40,10:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8252,,KY8209,保山-昆明,BSD,,D,B7871,B737,,,,9:40,10:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8308,,KY8233,南昌-昆明,KHN,,D,B6491,B738,,,,9:40,11:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
SC4695,,SC4696,青岛-南京-昆明,TAO,NKG,D,B5526,B738,,,,9:40,12:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA4276,,CA4275,哈尔滨-昆明,HRB,,D,B6846,A320,,,,9:40,14:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5962,,MU9713,临沧-昆明,LNJ,,D,B2502,B737,,,,9:45,10:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
DR6570,,DR6559,北海-昆明,BHY,,D,B1595,B738,,,,9:45,11:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
BK2897,,BK2743,天津-昆明,TSN,,D,B7373,B738,,,,9:45,13:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5811,,MU5740,迪庆-昆明,DIG,,D,B6142,B737,,,,9:50,11:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9773,,ZH9774,南昌-昆明,KHN,,D,B6749,A320,,,,9:55,12:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9793,,ZH9794,泉州-昆明,JJN,,D,B9909,A322,,,,10:00,12:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
JD5157,,JD5158,杭州-昆明,HGH,,D,B8678,A330,,,,10:00,13:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
JD5789,,JD5790,版纳-昆明,JHG,,D,B6199,A319,,,,10:05,11:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8918,,3U8957,厦门-昆明,XMN,,D,B6953,A320,,,,10:05,12:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8902,,,珠海-昆明,ZUH,,D,B8948,A320,,,,10:10,12:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9894,,8L9923,珠海-昆明,ZUH,,D,B1565,B737,,,,10:10,12:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5741,,MU5764,版纳-昆明,JHG,,D,B5295,B737,,,,10:15,11:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2975,,MU2976,无锡-昆明,WUX,,D,B2412,A320,,,,10:15,13:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU9756,,,保山-昆明,BSD,,D,B5293,B737,,,,10:25,11:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9909,,8L9857,版纳-昆明,JHG,,D,B5249,B737,,,,10:30,11:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
CA4413,Y,CA4414,成都-昆明,CTU,,D,B6767,A320,,,,10:30,12:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
8L9966,,8L9979,三亚-昆明,SYX,,D,B6198,A319,,,,10:30,12:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
DR6510,,DR6515,版纳-昆明,JHG,,D,B7088,B737,,,,10:35,11:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
9C8937,,9C8938,石家庄-昆明,SJW,,D,B6970,A320,,,,10:35,13:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ6425,,CZ6426,大连-武汉-昆明,DLC,WUH,D,B1829,A320,,,,10:40,12:43,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
GS7857,,GS7858,天津-西安-昆明,TSN,XIY,D,B1850,A320,,,,10:40,13:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
PN6394,,PN6394,版纳-昆明,JHG,,D,B8102,A320,,,,10:45,11:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
TV6007,,TV6008,兰州-丽江-昆明,ZGC,LJG,D,B8842,A320,,,,10:45,11:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8322,,KY8275,成都-昆明,CTU,,D,B6492,B738,,,,10:45,12:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU9744,,MU5815,北京-昭通-昆明,PEK,ZAT,D,B5276,B737,,,,10:50,11:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2590,,MU2593,万象-昆明,VTE,,I,B6147,B738,,,,10:50,12:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5842,,MU9751,成都-昆明,CTU,,D,B5926,A33E,,,,10:50,12:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5453,,MU5454,宁波-武汉-昆明,NGB,WUH,D,B1836,A320,,,,10:50,13:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8948,,3U8761,济南-昆明,TNA,,D,B1661,A320,,,,10:50,13:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8256,,KY8231,临沧-昆明,LNJ,,D,B7870,B737,,,,10:55,11:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
DR6508,,DR6501,芒市-昆明,LUM,,D,B6109,B737,,,,10:55,12:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5743,,MU5743,保山-昆明,BSD,,D,B5054,B737,,,,10:55,12:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5862,,MU2597,重庆-昆明,CKG,,D,B7599,B738,,,,10:55,12:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
TV9893,,TV9819,拉萨-昆明,LXA,,D,B6436,A319,,,,11:00,13:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9862,,,合肥-昆明,HFE,,D,B5359,B738,,,,11:00,13:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9842,,8L9689,普洱-昆明,SYM,,D,B5810,B737,,,,11:05,12:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5886,,MU5975,湛江-昆明,ZHA,,D,B5271,B737,,,,11:05,12:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
ZH9533,,ZH9534,无锡-昆明,WUX,,D,B6569,A320,,,,11:05,14:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
TG612,,TG613,曼谷-昆明,BKK,,I,,B747,,,,11:10,14:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8866,,3U8201,宁波-昆明,NGB,,D,B6778,A320,,,,11:10,14:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8130,,3U8967,版纳-昆明,JHG,,D,B6445,A319,,,,11:15,12:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5757,,MU5717,芒市-昆明,LUM,,D,B5242,B737,,,,11:15,12:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5732,,MU5809,广州-昆明,CAN,,D,B6872,A320,,,,11:15,13:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5723,,MU5919,版纳-昆明,JHG,,D,B5815,B737,,,,11:20,12:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8254,,KY8281,西安-昆明,XIY,,D,B6495,B738,,,,11:20,13:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5942,,MU5967,大理-昆明,DLU,,D,B5243,B737,,,,11:30,12:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5958,,MU5981,临沧-昆明,LNJ,,D,B5245,B737,,,,11:30,12:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9806,,,丽江-昆明,LJG,,D,B8732,A320,,,,11:30,12:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9866,,8L9889,济南-昆明,TNA,,D,B1587,B738,,,,11:30,14:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3415,,CZ3416,广州-昆明,CAN,,D,B5747,B738,,,,11:35,14:08,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8838,,3U8837,北京-万州-昆明,PEK,WXN,D,B6697,A320,,,,11:40,13:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5077,,MU5077,合肥-昆明,HFE,,D,B6802,A320,,,,11:40,14:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KA760,,KA761,香港-昆明,HKG,,R,,A320,,,,11:50,14:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU5505,,MU5588,上海-福州-昆明,PVG,FOC,D,B6560,A320,,,,11:50,15:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA4172,Y,CA4173,北京-昆明,PEK,,D,B6828,A320,,,,11:50,15:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU5928,,MU757,文山-昆明,WNH,,D,B5256,B737,,,,11:55,13:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8284,,KY8239,上海-昆明,PVG,,D,B5702,B738,,,,11:55,15:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU9731,,MU753,长沙-昆明,HHA,,D,B6141,B737,,,,12:00,14:10,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2485,,MU2486,武汉-昆明,WUH,,D,B6017,B738,,,,12:00,14:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MF8417,,MF8418,厦门-昆明,XMN,,D,B5389,B738,,,,12:00,14:40,,,,,33-计划,2017/6/19,REG,REG,PAX,,,3
HO1099,,HO1100,上海-昆明,SHA,,D,B8408,A320,,,,12:00,15:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5776,,MU5839,广州-昆明,CAN,,D,B1791,B738,,,,12:05,14:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
3U8854,,3U8853,哈尔滨-徐州-昆明,HRB,XUZ,D,B6551,A321,,,,12:05,15:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3482,,CZ3482,大理-昆明,DLU,,D,B6202,A319,,,,12:10,12:58,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8258,,KY8307,郑州-昆明,CGO,,D,B6493,B738,,,,12:10,14:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5292,,MU5299,北京-太原-昆明,PEK,TYN,D,B5492,B738,,,,12:10,15:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA4176,,CA4460,沈阳-昆明,SHE,,D,B8491,A320,,,,12:10,16:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5816,,MU9738,上海-六盘水-昆明,SHA,LPF,D,B5263,B737,,,,12:15,13:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9644,,8L9908,芒市-昆明,LUM,,D,B5292,B737,,,,12:15,13:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5974,,MU5732,芒市-昆明,LUM,,D,B5802,B737,,,,12:15,13:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
KY8236,,KY8265,杭州-昆明,HGH,,D,B2669,B737,,,,12:15,15:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3247,,CZ3248,桂林-昆明,KWL,,D,B5419,B738,,,,12:20,13:48,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5830,,MU5781,郑州-昆明,CGO,,D,B1908,B738,,,,12:20,15:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2725,,MU2786,南京-昆明,NKG,,D,B8497,A320,,,,12:25,15:30,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5437,,MU5438,上海-南充-昆明,PVG,NAO,D,B6465,A319,,,,12:30,14:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5465,,MU5532,上海-南昌-昆明,PVG,KHN,D,B8575,A325,,,,12:35,15:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3487,,CZ3487,广州-昆明,CAN,,D,B6020,A319,,,,12:35,15:08,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5802,,MU5719,上海-昆明,SHA,,D,B7591,B738,,,,12:35,16:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,1
MU5964,,MU9731,临沧-昆明,LNJ,,D,B5817,B737,,,,12:40,13:35,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CA1487,,CA1488,北京-达县-昆明,PEK,DAX,D,B5227,B738,,,,12:40,14:20,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9852,,8L9851,腾冲-昆明,TCZ,,D,B5825,B737,,,,12:45,13:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5762,,MU5823,深圳-昆明,SZX,,D,B7589,B738,,,,12:45,15:15,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9922,,8L9904,沧源-昆明,CWJ,,D,B5805,B737,,,,12:50,13:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
FM9397,,FM9398,上海-长沙-昆明,PVG,HHA,D,B1900,B738,,,,12:50,14:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
HO1681,,HO1682,南京-毕节-昆明,NKG,BFJ,D,B6966,A320,,,,12:55,13:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
QSR303,,,澳门-昆明,MFM,,R,,CRJ2,,,,13:00,14:40,,,,,33-计划,2017/6/19,REG,REG,SPE,,,0
CZ6369,,CZ6369,郑州-昆明,CGO,,D,B2622,B737,,,,13:00,15:43,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
AK101,,AK100,吉隆坡-昆明,KUL,,I,9MAFF,A320,,,,13:00,16:55,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5966,,MU5983,沧源-昆明,CWJ,,D,B5259,B737,,,,13:05,14:05,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ6403,,CZ6404,沈阳-重庆-昆明,SHE,CKG,D,B6783,A320,,,,13:05,14:38,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
8L9948,,8L9897,成都-昆明,CTU,,D,B1798,B738,,,,13:10,14:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5714,Y,MU5853,北京-昆明,PEK,,D,B7592,B738,,,,13:10,16:45,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU2030,,MU5707,曼德勒-昆明,MDL,,I,B5701,B738,,,,13:15,14:50,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ6459,,CZ6460,长春-重庆-昆明,CGQ,CKG,D,B2418,A321,,,,13:20,14:48,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5760,,MU5813,深圳-昆明,SZX,,D,B6148,B738,,,,13:20,16:00,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
CZ3492,,CZ3492,版纳-昆明,JHG,,D,B2916,B737,,,,13:25,14:23,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
MU5737,,MU2571,大理-昆明,DLU,,D,B6142,B737,,,,13:30,14:25,,,,,33-计划,2017/6/19,REG,REG,PAX,,,0
