FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
MU2498,昆明-武汉,B1535,,MU2493,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:20,WUH
MU2561,昆明-琅勃,B5295,,MU5741,,B737,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:05,LPQ
MU2567,昆明-曼德勒,B5795,,MU742,,B738,507,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:30,MDL
MU2568,昆明-广州,B5527,,MU2568,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:05,CAN
MU2571,昆明-加德,B5259,,MU5966,,B737,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:05,KTM
MU2575,昆明-河内,B5809,,MU5974,,B737,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:05,HAN
MU2581,昆明-岘港,B1788,,MU714,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:20,DAD
MU2585,昆明-胡市,B5242,,MU5737,,B737,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:50,SGN
MU2587,昆明-奈比多,B6143,,MU2587,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:10,NYT
MU2588,昆明-北京,B6143,,MU2588,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:25,PEK
MU2589,昆明-万象,B1790,,MU5720,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:05,VTE
MU2591,昆明-普吉,B6758,,MU5455,,A320,,I,33-计划,REG,REG,,PAX,2017/6/28,,,0,CES,2017/6/28 1:20,HKT
MU2593,昆明-清迈,B6249,,MU5764,,B738,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:30,CNX
MU2599,昆明-金边,B5816,,MU9731,,B737,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:20,PNH
MU2705,昆明-丽江,B8017,,MU2705,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:30,LJG
MU2706,昆明-南京,B8017,,MU2706,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:35,NKG
MU2716,昆明-长沙-南京,B6892,,MU2715,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:10,NKG
MU2726,昆明-南京,B6757,,MU2765,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:30,NKG
MU2736,昆明-长沙-南京,B6891,,MU2735,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 19:35,NKG
MU2746,昆明-长沙-南京,B8018,,MU2745,HHA,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:10,NKG
MU2755,昆明-版纳,B6462,,MU2755,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:05,JHG
MU2756,昆明-南京,B6463,,MU2756,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:40,NKG
MU2766,昆明-南京-长春,B6893,,MU2995,NKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 7:35,CGQ
MU2786,昆明-南京,B6757,,MU2725,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:30,NKG
MU2976,昆明-重庆-无锡,B6890,,MU2975,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:25,WUX
MU2986,昆明-无锡,B2220,,MU2985,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:10,WUX
MU2996,昆明-重庆-无锡,B2220,,MU5746,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 7:45,WUX
MU5077,昆明-曼谷,B8973,,MU5077,,A320,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:10,BKK
MU5078,昆明-合肥,B8973,,MU5078,,A320,,D,33-计划,REG,REG,,PAX,2017/6/28,,,0,CES,2017/6/28 0:55,HFE
MU5146,昆明-太原,B1723,,MU5229,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:30,TYN
MU5230,昆明-温州,B1773,,MU5145,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:25,WNZ
MU5299,昆明-太原-北京,B5258,,MU5292,TYN,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:15,PEK
MU5328,昆明-九华山-济南,B2207,,MU5327,JUH,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:20,TNA
MU5330,昆明-合肥,B1862,,MU5329,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:40,HFE
MU5438,昆明-南充-上海,B6423,,MU5437,NAO,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:40,PVG
MU5450,昆明-重庆,B8391,,MU5463,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:15,CKG
MU5454,昆明-武汉-宁波,B6758,,MU5453,WUH,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:15,NGB
MU5456,昆明-宁波,B1860,Y,MU5455,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:30,NGB
MU5464,昆明-合肥-上海,B1611,,MU5449,HFE,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:35,PVG
MU5470,昆明-南昌,B1613,,MU5469,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:50,KHN
MU5472,昆明-重庆-济南,B8556,,MU5471,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:50,TNA
MU5475,昆明-合肥,B6802,,MU5476,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 12:00,HFE
MU5480,昆明-武汉-青岛,B2333,,MU5479,WUH,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:20,TAO
MU5498,昆明-青岛,B2208,,MU5497,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:55,TAO
MU5532,昆明-南昌-上海,B8276,,MU5465,KHN,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:10,PVG
MU5548,昆明-景德镇-杭州,B2415,,MU5547,JDZ,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:25,HGH
MU555,昆明-加尔,B2229,,MU555,,A320,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:35,CCU
