FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"MU9743","","314","MU5826","昆明-昭通-北京","ZAT","PEK","D","B5054","B737","","","","18:35","","","","33-计划","2017/7/10","19:10","REG","REG","","PAX","","","00"
"NS3270","","","NS3269","昆明-石家庄","","SJW","D","B5215","B737","","","","20:25","","","","33-计划","2017/7/10","22:59","REG","REG","","PAX","","","00"
"OQ2328","","","OQ2327","昆明-重庆","","CKG","D","B6641","A320","","","","9:50","","","","33-计划","2017/7/10","10:56","REG","REG","","PAX","","","00"
"OQ2358","","","OQ2357","昆明-重庆","","CKG","D","B6641","A320","","","","22:00","","","","33-计划","2017/7/10","23:11","REG","REG","","PAX","","","00"
"PN6393","","","PN6393","昆明-版纳","","JHG","D","B9949","A320","","","","8:55","","","","33-计划","2017/7/10","9:42","REG","REG","","PAX","","","00"
"PN6394","","","PN6394","昆明-重庆","","CKG","D","B9949","A320","","","","12:45","","","","33-计划","2017/7/10","13:57","REG","REG","","PAX","","","00"
"QV816","","","QV815","昆明-万象","","VTE","I","RDPL34223","A320","","","","10:50","","","","33-计划","2017/7/10","12:03","REG","REG","","PAX","","","00"
"SC4696","","","SC4695","昆明-南京-青岛","NKG","TAO","D","B7885","B738","","","","13:40","","","","33-计划","2017/7/10","16:00","REG","REG","","PAX","","","00"
"SC4720","","","SC4719","昆明-重庆","","CKG","D","B5543","B738","","","","22:35","","","","33-计划","2017/7/10","23:47","REG","REG","","PAX","","","00"
"SC4738","","","SC4737","昆明-青岛","","TAO","D","B7087","B738","","","","20:55","","","","33-计划","2017/7/10","23:55","REG","REG","","PAX","","","00"
"SC4770","","","SC4769","昆明-厦门","","XMN","D","B1986","B738","","","","11:20","","","","33-计划","2017/7/10","13:36","REG","REG","","PAX","","","00"
"SC4874","","","SC4873","昆明-济南-烟台","TNA","YNT","D","B1931","B738","","","","12:50","","","","33-计划","2017/7/10","15:26","REG","REG","","PAX","","","00"
"SC8829","","","SC8829","昆明-德里","","DEL","I","B1508","B738","","","","10:55","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"SC8830","","","SC8830","昆明-青岛","","TAO","D","B1508","B738","","","","23:50","","","","33-计划","2017/7/10","2:42","REG","REG","","PAX","","","00"
"SC8843","","","SC8835","昆明-济南-大阪","TNA","KIX","M","B7668","B738","","","","6:50","","","","33-计划","2017/7/10","9:27","REG","REG","","PAX","","","00"
"SC8886","","","SC8886","昆明-乌鲁","","URC","D","B1745","B738","","","","7:25","","","","33-计划","2017/7/10","11:25","REG","REG","","PAX","","","00"
"TG613","","","TG612","昆明-曼谷","","BKK","I","","A330","","","","15:20","","","","33-计划","2017/7/10","17:04","REG","REG","","PAX","","","00"
"TV6008","","","TV6007","昆明-丽江-兰州","LJG","ZGC","D","B8843","A320","","","","13:20","","","","33-计划","2017/7/10","14:13","REG","REG","","PAX","","","00"
"TV9819","","","TV9893","昆明-芒市","","LUM","D","B6467","A319","","","","14:45","","","","33-计划","2017/7/10","15:35","REG","REG","","PAX","","","00"
"TV9894","","","TV9820","昆明-拉萨","","LXA","D","B6467","A319","","","","20:15","","","","33-计划","2017/7/10","22:39","REG","REG","","PAX","","","00"
"UO274","","","UO273","昆明-香港","","HKG","R","BLPF","A320","","","","12:10","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"ZH9266","","","ZH9265","昆明-西安","","XIY","D","B6749","A320","","","","12:45","","","","33-计划","2017/7/10","14:37","REG","REG","","PAX","","","00"
"ZH9412","","","ZH9411","昆明-深圳","","SZX","D","B5400","B738","","","","11:00","","","","33-计划","2017/7/10","12:46","REG","REG","","PAX","","","00"
"ZH9414","","","ZH9413","昆明-深圳","","SZX","D","B5400","B738","","","","17:30","","","","33-计划","2017/7/10","19:14","REG","REG","","PAX","","","00"
"ZH9416","","","ZH9415","昆明-深圳","","SZX","D","B5380","B738","","","","8:45","","","","33-计划","2017/7/10","10:30","REG","REG","","PAX","","","00"
"ZH9452","","","ZH9451","昆明-广州","","CAN","D","B5772","B738","","","","9:05","","","","33-计划","2017/7/10","10:48","REG","REG","","PAX","","","00"
"ZH9456","","","ZH9789","昆明-广州","","CAN","D","B6359","A320","","","","22:45","","","","33-计划","2017/7/10","0:26","REG","REG","","PAX","","","00"
"ZH9534","","","ZH9533","昆明-无锡","","WUX","D","B6649","A320","","","","15:10","","","","33-计划","2017/7/10","17:44","REG","REG","","PAX","","","00"
"ZH9562","","","ZH9561","昆明-南京","","NKG","D","B5360","B737","","","","12:10","","","","33-计划","2017/7/10","14:30","REG","REG","","PAX","","","00"
"ZH9713","","541","ZH9789","昆明-太原-沈阳","TYN","SHE","D","B9909","A322","","","","10:05","","","","33-计划","2017/7/10","12:30","REG","REG","","PAX","","","00"
"ZH9774","","","ZH9773","昆明-南昌","","KHN","D","B6835","A320","","","","13:30","","","","33-计划","2017/7/10","15:25","REG","REG","","PAX","","","00"
"ZH9790","","","ZH9714","昆明-泉州","","JJN","D","B9939","A320","","","","9:05","","","","33-计划","2017/7/10","11:27","REG","REG","","PAX","","","00"
"ZH9794","","","ZH9793","昆明-泉州","","JJN","D","B6937","A322","","","","13:40","","","","33-计划","2017/7/10","16:04","REG","REG","","PAX","","","00"
"CF9017","","","CF9018","昆明-南京","","NKG","D","B2824","B757","","","","0:05","","","","33-计划","2017/7/11","2:24","REG","REG","","CGO","","","00"
"MI917","","","MI918","昆明-新加坡","","SIN","I","9VSLM","A320","","","","2:05","","","","33-计划","2017/7/11","","REG","REG","","PAX","","","00"
"MU777","","","MU5706","昆明-悉尼","","SYD","I","B5921","A33E","","J05-J08","","0:50","","","","33-计划","2017/7/11","11:45","REG","REG","","PAX","","","00"
"O36943","","330","O36944","昆明-杭州","","HGH","D","B2817","B757","","","","1:15","","","","33-计划","2017/7/11","3:38","REG","REG","","CGO","","","00"
"SC8885","","","SC8885","昆明-曼谷","","BKK","I","B7086","B738","","","","1:00","","","","33-计划","2017/7/11","2:59","REG","REG","","PAX","","","00"
"UL829","","","UL828","昆明-科伦坡","","CMB","I","","A320","","","","2:55","","","","33-计划","2017/7/11","","REG","REG","","PAX","","","00"
"FD583","","","FD582","昆明-廊曼","","DMK","I","HSBBE","A320","","","","12:30","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"QG8815","","","QG8816","昆明-巴厘岛","","DPS","I","PK-GQL","A320","","","","2:15","","","","33-计划","2017/7/11","","REG","REG","","PAX","","","00"
"A67119","","709","A67106","昆明-南京-呼和","NKG","HET","D","B8318","A321","","","","9:05","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"HU7890","","","HU7889","昆明-深圳","","SZX","D","B7618","B738","","","","22:40","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"DR6561","","","DR6534","昆明-青岛-沈阳","TAO","SHE","D","B7866","B738","","","","11:55","","","","33-计划","2017/7/10","15:00","REG","REG","","PAX","","","00"
"QW9856","","","QW9855","昆明-屯溪-青岛","TXN","TAO","D","B9956","A320","","","","6:55","","","","33-计划","2017/7/10","9:07","REG","REG","","PAX","","","00"
"8L9503","","323","8L9966","昆明-莫斯科","","DME","I","B5971","A333","","","","10:55","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"8L9689","","","8L9864","昆明-合肥","","HFE","D","B2677","B738","","","","18:55","","","","33-计划","2017/7/10","21:04","REG","REG","","PAX","","","00"
"8L9709","","","8L9898","昆明-连城-南京","LCX","NKG","D","B6800","B738","","","","6:40","","","","33-计划","2017/7/10","8:53","REG","REG","","PAX","","","00"
"8L9711","","","8L9862","昆明-桂林-汕头","KWL","SWA","D","B6809","B738","","","","14:50","","","","33-计划","2017/7/10","16:05","REG","REG","","PAX","","","00"
"8L9845","","","8L9980","昆明-赣州-杭州","KOW","HGH","D","B5732","B738","","","","9:15","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"KY8351","","","KY8270","昆明-芒市","","LUM","D","B1459","B737","","","","8:00","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"SC4926","","","SC4925","昆明-济南","","TNA","D","B7975","B738","","","","6:50","","","","33-计划","2017/7/10","9:27","REG","REG","","PAX","","","00"
"SC8836","","","SC8844","昆明-景德镇-青岛","JDZ","TAO","D","B7976","B738","","","","6:55","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
