FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"O36944","B2817","","","B757","O36943","杭州-昆明","HGH","","D","2017/7/4 5:55","","8:40","","","33-计划","","2017/7/4","","REG","REG","","CGO","","","00","YAG"
"UW9938","B2330","","","A306","UW9941","马德拉斯-昆明","MAA","","I","2017/7/4 4:50","","8:40","","","33-计划","","2017/7/4","","REG","REG","","CGO","","","00","YAG"
"OQ2327","B1827","","","A320","OQ2328","重庆-昆明","CKG","","D","2017/7/4 7:15","","8:43","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"3U8206","B8329","","","A320","","广州-昆明","CAN","","D","2017/7/4 6:15","","8:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9556","B1588","","","B738","8L9651","海口-昆明","HAK","","D","2017/7/4 7:00","","8:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9994","B6809","","","B738","8L9891","西安-昆明","XIY","","D","2017/7/4 6:25","","8:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CF9018","B2827","","","B757","CF9017","南京-昆明","NKG","","D","2017/7/4 6:00","","8:55","","","33-计划","","2017/7/4","","REG","REG","","CGO","","","00","UNK"
"MU5852","B6143","","","B738","","成都-昆明","CTU","","D","2017/7/4 7:10","","8:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8661","B6621","","","A320","3U8227","成都-昆明","CTU","","D","2017/7/4 7:20","","9:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9802","B6943","","","A320","8L9871","丽江-昆明","LJG","","D","2017/7/4 8:00","","9:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2567","B5647","","","B738","MU2567","广州-昆明","CAN","","D","2017/7/4 6:30","","9:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"BK2797","B1732","","","B738","BK2845","长沙-昆明","HHA","","D","2017/7/4 7:05","","9:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2495","B5589","","","B737","MU2496","成都-昆明","CTU","","D","2017/7/4 7:30","","9:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CA415","B6468","","","A319","CA415","成都-昆明","CTU","","D","2017/7/4 7:40","","9:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8286","B6493","","","B738","KY8273","广州-昆明","CAN","","D","2017/7/4 6:45","","9:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ3481","B6209","","","A319","CZ3481","广州-昆明","CAN","","D","2017/7/4 7:00","","9:18","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2359","B2372","","","A320","MU2360","西宁-昆明","XNN","","D","2017/7/4 7:05","","9:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5764","B1703","","","B738","MU5811","深圳-昆明","SZX","","D","2017/7/4 6:55","","9:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU2249","B2209","","","A320","MU2250","兰州-昆明","ZGC","","D","2017/7/4 7:15","","9:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"8L9915","B6221","","","A319","8L9637","版纳-昆明","JHG","","D","2017/7/4 8:40","","9:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2756","B6463","","","A319","MU2756","版纳-昆明","JHG","","D","2017/7/4 8:40","","9:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"ZH9411","B6153","","","A319","ZH9412","深圳-昆明","SZX","","D","2017/7/4 7:10","","9:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9652","B7991","","","B738","8L9623","郑州-昆明","CGO","","D","2017/7/4 7:05","","9:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ3431","B8641","","","A321","CZ3432","海口-昆明","HAK","","D","2017/7/4 8:05","","9:48","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9644","B5268","","","B737","8L9935","芒市-昆明","LUM","","D","2017/7/4 8:50","","9:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5469","B8229","","","A320","MU5470","南昌-昆明","KHN","","D","2017/7/4 7:20","","9:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"QV815","RDPL34223","","","A320","QV816","万象-昆明","VTE","","I","2017/7/4 7:20","","9:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9850","B5825","","","B737","8L9827","迪庆-昆明","DIG","","D","2017/7/4 8:50","","9:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KN2381","B1751","","","B738","KN5212","石家庄-昆明","SJW","","D","2017/7/4 6:45","","9:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5711","B5815","","","B737","MU5989","版纳-昆明","JHG","","D","2017/7/4 8:50","","9:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"8L9988","B8446","","","A320","8L9985","北京-昆明","PEK","","D","2017/7/4 6:20","","10:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"SC4769","B1743","","","B738","SC4770","厦门-昆明","XMN","","D","2017/7/4 7:10","","10:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5740","B5756","","","B738","MU5737","广州-昆明","CAN","","D","2017/7/4 7:35","","10:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU2181","B6929","","","A320","MU2182","西安-昆明","XIY","","D","2017/7/4 7:50","","10:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU2497","B7376","","","B738","MU2494","武汉-昆明","WUH","","D","2017/7/4 7:55","","10:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3459","B2369","","","A320","CZ3460","深圳-昆明","SZX","","D","2017/7/4 8:00","","10:23","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CA1403","B5391","Y","","B738","CA1404","北京-昆明","PEK","","D","2017/7/4 7:00","","10:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"HU7163","B5521","","","B738","HU7164","深圳-昆明","SZX","","D","2017/7/4 7:55","","10:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2205","B1608","","","B738","MU2206","银川-昆明","INC","","D","2017/7/4 7:40","","10:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CA1751","B6022","","","A319","CA1956","杭州-昆明","HGH","","D","2017/7/4 7:25","","10:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2143","B2682","","","B737","MU5462","太原-昆明","TYN","","D","2017/7/4 7:35","","10:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU2705","B6456","","","A319","MU2705","南京-昆明","NKG","","D","2017/7/4 7:30","","10:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3491","B2620","","","B737","CZ3491","郑州-昆明","CGO","","D","2017/7/4 7:55","","10:33","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"FM9541","B5145","","","B738","FM9542","郑州-昆明","CGO","","D","2017/7/4 7:50","","10:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"JD5165","B6181","","","A319","JD5791","丽江-昆明","LJG","","D","2017/7/4 9:40","","10:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5476","B8557","","","A320","MU5475","合肥-昆明","HFE","","D","2017/7/4 7:55","","10:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5962","B5225","","","B737","MU5963","临沧-昆明","LNJ","","D","2017/7/4 9:45","","10:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3409","B2406","","","A320","CZ3410","广州-昆明","CAN","","D","2017/7/4 8:20","","10:43","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"FM9539","B7638","","","B738","FM9540","温州-昆明","WNZ","","D","2017/7/4 7:40","","10:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"KY8252","B7870","","","B737","KY8209","保山-昆明","BSD","","D","2017/7/4 9:40","","10:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MF8405","B5383","","","B738","MF8406","厦门-昆明","XMN","","D","2017/7/4 8:05","","10:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5497","B1863","","","A320","MU5498","青岛-昆明","TAO","","D","2017/7/4 7:10","","10:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5655","B6335","","","A320","MU5711","杭州-昆明","HGH","","D","2017/7/4 7:35","","10:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3677","B9930","","","A320","CZ3678","上海-昆明","PVG","","D","2017/7/4 7:40","","10:53","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8220","B5673","","","B738","KY8203","深圳-昆明","SZX","","D","2017/7/4 8:30","","10:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5811","B5821","","","B737","MU5764","迪庆-昆明","DIG","","D","2017/7/4 9:50","","10:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3857","B5742","","","B738","CZ3858","汕头-昆明","SWA","","D","2017/7/4 8:40","","10:58","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MF8427","B5319","","","B738","MF8428","福州-昆明","FOC","","D","2017/7/4 8:05","","11:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5988","B5265","","","B737","MU5831","保山-昆明","BSD","","D","2017/7/4 10:00","","11:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"ZH9265","B9910","","","A322","ZH9266","西安-昆明","XIY","","D","2017/7/4 8:35","","11:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CA1955","B6745","","","A320","CA1752","温州-昆明","WNZ","","D","2017/7/4 8:00","","11:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"ZH9561","B5771","","","B738","ZH9562","南京-昆明","NKG","","D","2017/7/4 8:20","","11:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"9C8827","B6562","","","A320","9C8828","上海-芷江-昆明","SHA","HJJ","D","2017/7/4 9:45","","11:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"B7289","B16219","","","A321","B7290","高雄-昆明","KHH","","R","2017/7/4 8:10","","11:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"JD5789","B8170","","","A320","JD5790","版纳-昆明","JHG","","D","2017/7/4 10:05","","11:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5741","B5276","","","B737","MU5981","版纳-昆明","JHG","","D","2017/7/4 10:15","","11:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"UO273","BLCG","","","A320","UO274","香港-昆明","HKG","","R","2017/7/4 7:50","","11:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"FD582","HSBBE","","","A320","FD583","廊曼-昆明","DMK","","I","2017/7/4 7:50","","11:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2035","B1792","","","B738","MU2035","北京-昆明","PEK","","D","2017/7/4 7:55","","11:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU9756","B5242","","","B737","MU5721","保山-昆明","BSD","","D","2017/7/4 10:25","","11:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"HU7211","B6060","","","B738","HU7212","北京-昆明","PEK","","D","2017/7/4 8:10","","11:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"DR6510","B6109","","","B737","DR6503","版纳-昆明","JHG","","D","2017/7/4 10:35","","11:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2569","B6148","","","B738","MU2569","北京-昆明","PEK","","D","2017/7/4 8:05","","11:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU2570","B6147","","","B738","MU5741","清迈-昆明","CNX","","I","2017/7/4 9:30","","11:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"FM9453","B5261","","","B737","FM9453","上海-昆明","SHA","","D","2017/7/4 8:15","","11:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"PN6394","B8845","","","A320","PN6394","版纳-昆明","JHG","","D","2017/7/4 10:45","","11:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"TV6007","B8843","","","A320","TV6008","兰州-丽江-昆明","ZGC","LJG","D","2017/7/4 8:05","","11:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"HO1121","B6618","","","A320","HO1122","上海-昆明","SHA","","D","2017/7/4 8:35","","11:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8256","B7872","","","B737","KY8231","临沧-昆明","LNJ","","D","2017/7/4 10:55","","11:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"DR6508","B7088","","","B737","DR6501","芒市-昆明","LUM","","D","2017/7/4 10:50","","11:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8308","B6495","","","B738","KY8233","南昌-昆明","KHN","","D","2017/7/4 9:40","","11:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5743","B5293","","","B737","MU5743","保山-昆明","BSD","","D","2017/7/4 10:55","","12:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"SC4873","B1931","","","B738","SC4874","烟台-济南-昆明","YNT","TNA","D","2017/7/4 8:50","","12:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"3U8529","B6770","","","A320","3U8530","杭州-昆明","HGH","","D","2017/7/4 9:00","","12:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CA4413","B6767","","","A320","CA4414","成都-昆明","CTU","","D","2017/7/4 10:30","","12:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"GS7855","B8959","","","A330","GS7856","天津-昆明","TSN","","D","2017/7/4 8:25","","12:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9894","B7992","","","B738","","珠海-昆明","ZUH","","D","2017/7/4 10:10","","12:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5717","B6249","","","B738","MU5749","北京-昆明","PEK","","D","2017/7/4 8:30","","12:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5723","B5295","","","B737","MU5919","版纳-昆明","JHG","","D","2017/7/4 11:10","","12:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU9742","B5271","","","B737","MU2561","北京-保山-昆明","PEK","BSD","D","2017/7/4 11:10","","12:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8130","B6448","","","A319","3U8967","版纳-昆明","JHG","","D","2017/7/4 11:15","","12:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5757","B2640","Y","114","B737","MU5967","芒市-昆明","LUM","","D","2017/7/4 11:15","","12:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3901","B6098","","","A333","CZ3902","北京-昆明","PEK","","D","2017/7/4 9:05","","12:23","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2590","B1789","","","B738","MU5757","万象-昆明","VTE","","I","2017/7/4 10:50","","12:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5942","B5245","","","B737","MU5833","大理-昆明","DLU","","D","2017/7/4 11:30","","12:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5958","B5255","","","B737","MU5723","临沧-昆明","LNJ","","D","2017/7/4 11:30","","12:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"FM9451","B2567","","","B763","FM9452","上海-昆明","SHA","","D","2017/7/4 9:00","","12:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5842","B6145","","","B738","MU2029","成都-昆明","CTU","","D","2017/7/4 10:50","","12:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5862","B1907","","","B738","MU2031","重庆-昆明","CKG","","D","2017/7/4 10:55","","12:30","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"KY8322","B6491","","","B738","KY8361","成都-昆明","CTU","","D","2017/7/4 10:45","","12:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2587","B1790","","","B738","MU2587","北京-昆明","PEK","","D","2017/7/4 8:55","","12:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"SC4695","B7668","","","B738","SC4696","青岛-南京-昆明","TAO","NKG","D","2017/7/4 9:40","","12:35","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9958","B5732","","","B738","8L9747","武汉-昆明","WUH","","D","2017/7/4 10:20","","12:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"ZH9793","B8078","","","A320","ZH9794","泉州-昆明","JJN","","D","2017/7/4 10:00","","12:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ6425","B9958","","","A320","CZ6426","大连-武汉-昆明","DLC","WUH","D","2017/7/4 10:40","","12:43","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9996","B1565","","","B737","8L9914","银川-昆明","INC","","D","2017/7/4 10:05","","12:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9862","B7989","","","B738","8L9869","合肥-昆明","HFE","","D","2017/7/4 10:15","","12:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ3482","B6209","","","A319","CZ3482","大理-昆明","DLU","","D","2017/7/4 12:10","","12:58","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5928","B5231","","","B737","MU5881","文山-昆明","WNH","","D","2017/7/4 11:55","","13:00","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5886","B5817","","","B737","MU9731","湛江-昆明","ZHA","","D","2017/7/4 11:05","","13:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5894","B5263","","","B737","MU5717","普洱-昆明","SYM","","D","2017/7/4 12:00","","13:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5453","B6007","","","A320","MU5454","宁波-武汉-昆明","NGB","WUH","D","2017/7/4 10:50","","13:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5882","B5259","","","B737","MU5732","上海-铜仁-昆明","SHA","TEN","D","2017/7/4 11:35","","13:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU9738","B5515","","","B738","MU733","天津-昆明","TSN","","D","2017/7/4 9:35","","13:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8838","B8656","","","A320","3U8837","北京-万州-昆明","PEK","WXN","D","2017/7/4 11:40","","13:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"JD5157","B8679","","","A330","JD5158","杭州-昆明","HGH","","D","2017/7/4 10:00","","13:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"BK2897","B5562","","","B738","BK2743","天津-昆明","TSN","","D","2017/7/4 9:45","","13:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5974","B5256","","","B737","MU757","芒市-昆明","LUM","","D","2017/7/4 12:15","","13:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8710","B6719","","","A320","3U8245","万象-昆明","VTE","","I","2017/7/4 11:30","","13:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU2975","B1635","","","A320","MU2976","无锡-昆明","WUX","","D","2017/7/4 10:15","","13:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"TV9893","B6467","","","A319","TV9819","拉萨-昆明","LXA","","D","2017/7/4 11:00","","13:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8254","B1991","","","B738","KY8281","西安-昆明","XIY","","D","2017/7/4 11:20","","13:40","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9932","B5249","","","B737","8L9904","芒市-昆明","LUM","","D","2017/7/4 12:45","","13:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"9C8937","B1627","","","A320","9C8938","石家庄-昆明","SJW","","D","2017/7/4 10:35","","13:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"GJ8837","B8560","","","A320","GJ8838","杭州-珠海-昆明","HGH","ZUH","D","2017/7/4 11:50","","13:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KY8340","B2678","","","B737","KY8243","运城-昆明","YCU","","D","2017/7/4 11:15","","13:45","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ3247","B5420","","","B738","CZ3248","桂林-昆明","KWL","","D","2017/7/4 12:20","","13:48","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"8L9828","B5825","","","B737","8L9711","泸沽湖-昆明","NLH","","D","2017/7/4 12:55","","13:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5437","B6423","","","A319","MU5438","上海-南充-昆明","PVG","NAO","D","2017/7/4 12:15","","13:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU5732","B7592","","","B738","MU5809","广州-昆明","CAN","","D","2017/7/4 11:15","","13:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"MU755","B5921","","","A33E","MU755","上海-昆明","PVG","","D","2017/7/4 10:25","","13:50","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8948","B1881","","","A320","3U8637","济南-昆明","TNA","","D","2017/7/4 10:50","","13:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5826","B6142","","","B737","MU5760","桂林-昆明","KWL","","D","2017/7/4 12:20","","13:55","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"TG612","HST","","","B773","TG613","曼谷-昆明","BKK","","I","2017/7/4 10:50","","14:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"ZH9533","B6297","","","A320","ZH9534","无锡-昆明","WUX","","D","2017/7/4 11:05","","14:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5966","B5270","","","B737","MU9715","沧源-昆明","CWJ","","D","2017/7/4 13:05","","14:05","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"CZ3415","B5020","","","B738","CZ3416","广州-昆明","CAN","","D","2017/7/4 11:35","","14:08","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU9731","B5822","","","B737","MU2599","长沙-昆明","HHA","","D","2017/7/4 12:00","","14:10","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
"3U8866","B1886","","","A320","3U8243","宁波-昆明","NGB","","D","2017/7/4 11:10","","14:15","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CA1487","B5213","","","B737","CA1488","北京-达县-昆明","PEK","DAX","D","2017/7/4 12:40","","14:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CA4276","B8338","","","A320","CA4275","哈尔滨-昆明","HRB","","D","2017/7/4 9:40","","14:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"KA760","BHLE","","","A330","KA761","香港-昆明","HKG","","R","2017/7/4 11:50","","14:20","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"CZ3492","B2620","","","B737","CZ3492","版纳-昆明","JHG","","D","2017/7/4 13:25","","14:23","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","YAG"
"MU5737","B5809","","","B737","MU2585","大理-昆明","DLU","","D","2017/7/4 13:30","","14:25","","","33-计划","","2017/7/4","","REG","REG","","PAX","","","00","CES"
