FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
9C8596,,9C8595,昆明-绵阳-沈阳,MIG,SHE,D,B6852,A320,2017/6/24 20:35,2017/6/24,21:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
FM9398,,FM9397,昆明-长沙-上海,HHA,PVG,D,B6866,B738,2017/6/24 16:10,2017/6/24,17:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5576,,MU5575,昆明-郑州-烟台,CGO,YNT,D,B6878,A322,2017/6/24 18:25,2017/6/24,20:40,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2996,,MU5810,昆明-重庆-无锡,CKG,WUX,D,B6893,A320,2017/6/24 7:45,2017/6/24,8:59,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2986,,MU2985,昆明-无锡,,WUX,D,B6893,A320,2017/6/24 20:10,2017/6/24,22:41,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ8510,,CZ8509,昆明-青岛-长春,TAO,CGQ,D,B6897,A322,2017/6/24 8:10,2017/6/24,11:11,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5532,,MU5465,昆明-南昌-上海,KHN,PVG,D,B6923,A321,2017/6/24 16:10,2017/6/24,18:05,,,,,,,,33-计划,REG,REG,,PAX,,,0
ZH9412,,ZH9411,昆明-深圳,,SZX,D,B6938,A320,2017/6/24 11:00,2017/6/24,12:45,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8668,,3U8514,昆明-成都,,CTU,D,B6953,A320,2017/6/24 18:20,2017/6/24,19:25,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8513,,3U8202,昆明-重庆-兰州,CKG,ZGC,D,B6953,A320,2017/6/24 7:15,2017/6/24,8:22,155,17,,,,,,33-计划,REG,REG,,PAX,,,0
8L9871,,8L9648,昆明-宜昌-宁波,YIH,NGB,D,B6959,A320,2017/6/24 12:55,2017/6/24,14:36,523L,,,,,,,33-计划,REG,REG,,PAX,,,0
SC8886,,SC8886,昆明-乌鲁,,URC,D,B6986,B738,2017/6/24 7:25,2017/6/24,11:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6515,,DR6510,昆明-襄阳-天津,XFN,TSN,D,B7088,B737,2017/6/24 13:30,2017/6/24,15:21,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6509,,DR6592,昆明-版纳,,JHG,D,B7088,B737,2017/6/24 8:40,2017/6/24,9:27,714,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8283,,KY8334,昆明-上海,,PVG,D,B7089,B738,2017/6/24 7:40,2017/6/24,10:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8239,,KY8284,昆明-青岛,,TAO,D,B7089,B738,2017/6/24 16:20,2017/6/24,19:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9585,,8L9992,昆明-南宁-巴厘岛,NNG,DPS,M,B7167,B738,2017/6/24 7:10,2017/6/24,8:15,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2263,,MU5708,昆明-西安-沈阳,XIY,SHE,D,B7170,B738,2017/6/24 9:45,2017/6/24,11:35,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7088,,HU7087,昆明-海口,,HAK,D,B7399,B738,2017/6/24 10:35,2017/6/24,12:02,,,,,,,,33-计划,REG,REG,,PAX,,,1
MU5839,,MU5830,昆明-郑州,,CGO,D,B7589,B738,2017/6/24 16:00,2017/6/24,18:16,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5829,,MU5714,昆明-郑州,,CGO,D,B7589,B738,2017/6/24 8:20,2017/6/24,10:37,509,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5847,,MU5742,昆明-成都,,CTU,D,B7590,B738,2017/6/24 19:55,2017/6/24,21:00,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5741,,MU5766,昆明-广州,,CAN,D,B7590,B738,2017/6/24 13:05,2017/6/24,14:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5855,,MU5832,昆明-成都,,CTU,D,B7591,B738,2017/6/24 20:50,2017/6/24,21:56,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5831,,MU5848,昆明-郑州,,CGO,D,B7591,B738,2017/6/24 12:15,2017/6/24,14:33,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5849,,MU5812,昆明-成都,,CTU,D,B7592,B738,2017/6/24 16:30,2017/6/24,17:38,512,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5801,,MU5814,昆明-上海,,SHA,D,B7599,B738,2017/6/24 8:00,2017/6/24,10:40,,,,,,,,33-计划,REG,REG,,PAX,,,1
MU5719,,MU5802,昆明-北京,,PEK,D,B7599,B738,2017/6/24 17:20,2017/6/24,20:19,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5853,,MU5714,昆明-成都,,CTU,D,B7600,B738,2017/6/24 18:00,2017/6/24,19:10,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU5713,,MU5840,昆明-北京,,PEK,D,B7600,B738,2017/6/24 8:30,2017/6/24,11:30,,,,,,,,33-计划,REG,REG,,PAX,,,0
G52628,,G52627,昆明-南阳-大连,NNY,DLC,D,B7691,CRJ9,2017/6/24 19:05,2017/6/24,21:09,,,,,,,,33-计划,REG,REG,,PAX,,,3
SC4926,,SC8844,昆明-济南,,TNA,D,B7805,B738,2017/6/24 6:50,2017/6/24,9:28,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC8843,,SC4925,昆明-济南-大阪,TNA,KIX,M,B7808,B738,2017/6/24 6:50,2017/6/24,9:27,,,,,,,,33-计划,REG,REG,,PAX,,,0
DR6557,,DR5340,昆明-呼和-沈阳,HET,SHE,D,B7866,B738,2017/6/24 11:55,2017/6/24,14:41,,,,,,,,33-计划,REG,REG,,PAX,,,0
