FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
DR6577,昆明-榆林-沈阳,DR6524,,B5811,UYN,D,B737,156,15,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:15,SHE,,,,,,2017/7/11 9:33,2017/7/11 10:00
DR6579,昆明-芒市,DR6504,,B5812,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:40,LUM,,,,,,2017/7/11 21:30,2017/7/11 21:40
DR6591,昆明-西安,DR6592,,B1960,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 6:35,XIY,,,,,,2017/7/11 8:25,2017/7/11 8:45
EU2224,昆明-成都,EU2226,,B6230,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:25,CTU,,,,,,2017/7/12 0:28,2017/7/12 1:10
EU2225,昆明-版纳,EU2722,,B6230,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:25,JHG,,,,,,2017/7/11 20:12,2017/7/11 20:25
EU2721,昆明-柳州-厦门,EU2223,,B6230,LZH,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:20,XMN,,,,,,2017/7/11 10:30,2017/7/11 10:50
FD583,昆明-廊曼,FD582,,HSBBE,,I,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:30,DMK,K01-K04,,,,,,2017/7/11 14:00
FM9398,昆明-长沙-上海,FM9397,,B1742,HHA,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:10,PVG,,,,,,2017/7/11 17:49,2017/7/11 18:15
FM9430,昆明-衡阳-上海,FM9429,,B1900,HNY,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:25,PVG,,,,,,2017/7/11 18:54,2017/7/11 19:20
FM9452,昆明-上海,FM9451,,B2570,,D,B763,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:50,SHA,,,,,,2017/7/11 16:29,2017/7/11 17:10
FM9453,昆明-版纳,FM9453,,B5261,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:55,JHG,,,,,,2017/7/11 13:43,2017/7/11 14:00
FM9454,昆明-上海,FM9454,,B5261,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:40,SHA,,,,,,2017/7/11 19:22,2017/7/11 20:05
FM9540,昆明-温州,FM9539,,B5131,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:00,WNZ,,,,,,2017/7/11 14:31,2017/7/11 14:55
FM9542,昆明-郑州,FM9541,,B5320,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:50,CGO,,,,,,2017/7/11 14:04,2017/7/11 14:30
FU6510,昆明-福州,FU6509,,B1905,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:25,FOC,,,,,,2017/7/12 0:46,2017/7/12 1:10
G52628,昆明-南阳-大连,G52627,,B3377,NNY,D,CRJ9,,,33-计划,REG,2017/7/11,,PAX,,,3,2017/7/11 19:05,DLC,,,,,,2017/7/11 21:11,2017/7/11 21:25
GJ8662,昆明-贵阳-杭州,GJ8661,,B8335,KWE,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:30,HGH,,,,,,2017/7/11 8:22,2017/7/11 8:45
GJ8838,昆明-珠海-杭州,GJ8837,,B8560,ZUH,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:05,HGH,,,,,,2017/7/11 19:53,2017/7/11 20:00
GJ8871,昆明-临沂-长春,GJ8690,,B8148,LYI,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:05,CGQ,,,,,,2017/7/11 10:48,2017/7/11 10:55
GJ8882,昆明-杭州,GJ8881,,B8985,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:25,HGH,,,,,,2017/7/11 23:54,2017/7/12 0:25
GS7662,昆明-西安,GS7661,,B9983,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:50,XIY,,,,,,2017/7/12 0:37,2017/7/12 1:05
GS7856,昆明-天津,GS7855,,B8659,,D,A330,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:25,TSN,,,,,,2017/7/11 16:17,2017/7/11 16:40
GX8982,昆明-南宁,GX8981,,B3180,,D,E190,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:35,NNG,,,,,,2017/7/11 11:39,2017/7/11 11:50
HO1018,昆明-大庸-上海,HO1017,,B8235,DYG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:55,PVG,,,,,,2017/7/11 21:16,2017/7/11 21:30
HO1048,昆明-毕节-杭州,HO1047,,B6381,BFJ,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 19:55,HGH,,,,,,2017/7/11 20:39,2017/7/11 21:00
HO1094,昆明-上海,HO1093,,B6572,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:40,SHA,,,,,,2017/7/11 10:24,2017/7/11 10:50
HO1096,昆明-毕节-上海,HO1095,,B6640,BFJ,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:25,PVG,,,,,,2017/7/11 21:10,2017/7/11 21:30
HO1100,昆明-上海,HO1099,,B6338,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:35,SHA,,,,,,2017/7/11 19:18,2017/7/11 20:00
HO1122,昆明-上海,HO1121,,B6395,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 12:55,SHA,,,,,,2017/7/11 15:37,2017/7/11 16:05
HU7088,昆明-海口,HU7087,,B2651,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 10:35,HAK,,,,,,2017/7/11 12:04,2017/7/11 12:30
HU7112,昆明-北京,HU7111,,B2491,,D,B763,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 20:25,PEK,,,,,,2017/7/11 23:16,2017/7/11 23:45
HU7164,昆明-深圳,HU7163,,B1541,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 11:25,SZX,,,,,,2017/7/11 13:06,2017/7/11 13:35
