FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"8L9651","","8L9556","昆明-郑州","","CGO","D","B6809","B738","","","A01-C10","","9:50","","","","33-计划","","2017/6/28","12:04","REG","REG","PAX","","","00"
"8L9891","","8L9886","昆明-武汉-大连","WUH","DLC","D","B5409","B738","540","","A01-C10","","9:50","","","","33-计划","","2017/6/28","11:41","REG","REG","PAX","","","00"
"OQ2328","","OQ2327","昆明-重庆","","CKG","D","B2345","A320","","","D01-E10","","9:50","","","","33-计划","","2017/6/28","10:56","REG","REG","PAX","","","00"
"MU2003","","MU742","昆明-首尔","","ICN","I","B6149","B738","506","","J03-J05","","9:55","","","","33-计划","","2017/6/28","14:15","REG","REG","PAX","","","00"
"KY8333","","KY8334","昆明-西安-大连","XIY","DLC","D","B7873","B738","716","","D01-E10","","10:00","","","","33-计划","","2017/6/28","11:53","REG","REG","PAX","","","00"
"MU5759","","MU9716","昆明-深圳","","SZX","D","B7600","B738","512","","E11-H20","","10:00","","","","33-计划","","2017/6/28","11:45","REG","REG","PAX","","","00"
"MU5851","","MU5913","昆明-成都","","CTU","D","B5817","B737","124","39","E11-H20","","10:00","","","","33-计划","","2017/6/28","11:04","REG","REG","PAX","","","00"
"ZH9713","","ZH9714","昆明-太原","","TYN","D","B9908","A322","537","","D01-E10","","10:05","","","","33-计划","","2017/6/28","12:30","REG","REG","PAX","","","00"
"BK2715","","BK2797","昆明-南京","","NKG","D","B6026","B738","","","D01-E10","","10:10","","","","33-计划","","2017/6/28","12:31","REG","REG","PAX","","","00"
"MU5893","","MU5898","昆明-普洱","","SYM","D","B5809","B737","513","","E11-H20","","10:10","","","","33-计划","","2017/6/28","10:55","REG","REG","PAX","","","00"
"KY8273","","KY8286","昆明-武汉","","WUH","D","B1507","B738","","","D01-E10","","10:20","","","","33-计划","","2017/6/28","12:14","REG","REG","PAX","","","00"
"MU2360","","MU2359","昆明-西宁","","XNN","D","B6876","A320","","","E11-H20","","10:20","","","","33-计划","","2017/6/28","12:30","REG","REG","PAX","","","00"
"MU5927","","MU5747","昆明-文山","","WNH","D","B5293","B737","","","E11-H20","","10:20","","","","33-计划","","2017/6/28","10:55","REG","REG","PAX","","","00"
"8L9947","","8L9874","昆明-成都","","CTU","D","B1586","B738","541","","A01-C10","","10:25","","","","33-计划","","2017/6/28","11:28","REG","REG","PAX","","","00"
"CA8938","","CA8929","昆明-武当山-大连","WDS","DLC","D","B5553","B737","328","","D01-E10","","10:25","","","","33-计划","","2017/6/28","12:14","REG","REG","PAX","","","00"
"MU5973","","MU758","昆明-芒市","","LUM","D","B5255","B737","514","","E11-H20","","10:25","","","","33-计划","","2017/6/28","11:18","REG","REG","PAX","","","00"
"CZ3481","","CZ3481","昆明-大理","","DLU","D","B6409","A319","","","D01-E10","","10:30","","","","33-计划","","2017/6/28","11:11","REG","REG","PAX","","","00"
"MU2567","","MU2567","昆明-曼德勒","","MDL","I","B6145","B738","","","J01-J02","","10:30","","","","33-计划","","2017/6/28","11:46","REG","REG","PAX","","","00"
"HU7088","","HU7087","昆明-海口","","HAK","D","B5288","B737","","","D01-E10","","10:35","","","","33-计划","","2017/6/28","12:04","REG","REG","PAX","","","00"
"MU2250","","MU2249","昆明-兰州","","ZGC","D","B1609","A320","","","E11-H20","","10:35","","","","33-计划","","2017/6/28","12:31","REG","REG","PAX","","","00"
"SC8827","","SC8827","昆明-德里","","DEL","I","B1745","B738","","","K08-K09","","10:35","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"MU2756","","MU2756","昆明-南京","","NKG","D","B6456","A319","","","E11-H20","","10:40","","","","33-计划","","2017/6/28","12:59","REG","REG","PAX","","","00"
"8L9623","","8L9652","昆明-杭州","","HGH","D","B7991","B738","","","A01-C10","","10:45","","","","33-计划","","2017/6/28","13:13","REG","REG","PAX","","","00"
"CA415","","CA415","昆明-仰光","","RGN","I","B6478","A319","","","J14-J16","","10:45","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"MU5470","","MU5469","昆明-南昌","","KHN","D","B6878","A322","","","E11-H20","","10:50","","","","33-计划","","2017/6/28","12:48","REG","REG","PAX","","","00"
"QV816","","QV815","昆明-万象","","VTE","I","RDPL34223","A320","","","J11-J13","","10:50","","","","33-计划","","2017/6/28","12:03","REG","REG","PAX","","","00"
"CZ3432","","CZ3431","昆明-海口","","HAK","D","B1805","A320","","","D01-E10","","10:55","","","","33-计划","","2017/6/28","12:23","REG","REG","PAX","","","00"
"KN5212","","KN2381","昆明-汉中-南苑","HZG","NAY","D","B7370","B738","","","E11-H20","","10:55","","","","33-计划","","2017/6/28","12:27","REG","REG","PAX","","","00"
"MU5963","","MU5922","昆明-临沧","","LNJ","D","B5822","B737","126","43","E11-H20","","10:55","","","","33-计划","","2017/6/28","11:36","REG","REG","PAX","","","00"
"MU5843","","MU778","昆明-成都","","CTU","D","B5930","A33E","105","","E11-H20","","11:00","","","","33-计划","","2017/6/28","12:05","REG","REG","PAX","","","00"
"ZH9412","","ZH9411","昆明-深圳","","SZX","D","B6165","A319","","","D01-E10","","11:00","","","","33-计划","","2017/6/28","12:46","REG","REG","PAX","","","00"
"ICU736","","ICU735","昆明-天津","","TSN","D","B3256","G280","","","","","11:00","","","","33-计划","","2017/6/28","","REG","REG","SPE","","","00"
