FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
MU9731,长沙-昆明,B5817,,MU2575,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 14:10,HHA,,,,,9,2017/6/29 12:00
MU9732,拉萨-昆明,B5816,,MU9732,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 21:15,LXA,,,,,5,2017/6/29 18:55
MU9737,芒市-昆明,B5231,,MU5744,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 19:15,LUM,,,,,6,2017/6/29 18:05
MU9738,天津-昆明,B7170,,MU9715,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 13:10,TSN,,,,,6,2017/6/29 9:35
MU9742,北京-保山-昆明,B5809,,MU2565,BSD,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 12:15,PEK,,,,,5,2017/6/29 11:10
MU9756,保山-昆明,B5243,,MU5919,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,CES,2017/6/29 11:30,BSD,,,,,,2017/6/29 10:25
NS3269,石家庄-昆明,B5212,,NS3270,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 19:20,SJW,,,,,13,2017/6/29 16:15
O36944,杭州-昆明,B2828,,O36943,,B757,,D,33-计划,REG,REG,,CGO,2017/6/29,,,0,YAG,2017/6/29 8:40,HGH,,,,,,2017/6/29 5:55
OQ2327,重庆-昆明,B6761,,OQ2328,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,1,YAG,2017/6/29 8:43,CKG,,,,,14,2017/6/29 7:15
OQ2357,重庆-昆明,B6761,,OQ2358,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,1,YAG,2017/6/29 20:53,CKG,,,,,14,2017/6/29 19:25
PN6393,重庆-昆明,B6763,,PN6393,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 7:55,CKG,,,,,10,2017/6/29 6:10
