FLT,VIP,LKF,RFC,VI1,TOF,REG,ITY,TAR,GAT,POP,FSA,OPE,STD,ABT,RCP,NAT,FLX,MFF,SST,DES,CID,MP1,ETD,ATD,EAN,CLA
FU6510,,FU6509,昆明-福州,,D,B1905,B738,,,REG,33-计划,REG,2017/6/25 22:25,,,PAX,,,00,FOC,D01-E10,B,,,2017/6/26 0:46,正班
MU9732,,MU9732,昆明-长沙,,D,B5817,B737,,,REG,33-计划,REG,2017/6/25 22:25,,,PAX,,,00,HHA,E11-H20,F,,,2017/6/25 23:59,正班
MU5618,,MU5617,昆明-南昌,,D,B6831,A320,,,REG,33-计划,REG,2017/6/25 22:30,,,PAX,,,00,KHN,E11-H20,F,,,2017/6/26 0:26,正班
MU5093,,MU5093,昆明-新加坡,,I,B6371,A320,,,REG,33-计划,REG,2017/6/25 22:35,,,PAX,,,00,SIN,J01-J03,G,,,2017/6/26 2:30,正班
SC4720,,SC4719,昆明-重庆,,D,B5347,B738,,,REG,33-计划,REG,2017/6/25 22:35,,,PAX,,,00,CKG,D01-E10,C,,,2017/6/25 23:47,正班
DR6511,,DR6506,昆明-版纳,,D,B5830,B737,,,REG,33-计划,REG,2017/6/25 22:40,,,PAX,,,00,JHG,D01-E10,A,,,2017/6/25 23:28,正班
KY8285,,KY8262,昆明-广州,,D,B6491,B738,,,REG,33-计划,REG,2017/6/25 22:40,,,PAX,,,00,CAN,D01-E10,A,,,2017/6/26 0:22,正班
HU7090,,HU7089,昆明-海口,,D,B5138,B738,,,REG,33-计划,REG,2017/6/25 22:40,,,PAX,,,00,HAK,D01-E10,B,,,2017/6/26 0:06,正班
ZH9456,,ZH9789,昆明-广州,,D,B6857,A322,,,REG,33-计划,REG,2017/6/25 22:45,,,PAX,,,00,CAN,D01-E10,A,,,2017/6/26 0:23,正班
GS7662,,GS7661,昆明-西安,,D,B9983,A320,,,REG,33-计划,REG,2017/6/25 22:50,,,PAX,,,00,XIY,D01-E10,A,,,2017/6/26 0:37,正班
8L9906,,8L9520,昆明-版纳,,D,B5292,B737,,,REG,33-计划,REG,2017/6/25 22:55,,,PAX,,,01,JHG,A01-C10,B,,,2017/6/25 23:42,正班
3U8662,,3U8930,昆明-成都,,D,B8500,A320,,,REG,33-计划,REG,2017/6/25 23:00,,,PAX,,,00,CTU,C16-C20,B,,,2017/6/26 0:03,正班
MU5646,,MU5646,昆明-杭州,,D,B6805,A320,,,REG,33-计划,REG,2017/6/25 23:00,,,PAX,,,00,HGH,E11-H20,E,,,2017/6/26 1:22,正班
8L9908,,8L9913,昆明-版纳,,D,B5272,B737,,,REG,33-计划,REG,2017/6/25 23:05,,,PAX,,,01,JHG,A01-C10,C,,,2017/6/25 23:51,正班
8L9555,,8L9648,昆明-海口,,D,B1825,A320,,,REG,33-计划,REG,2017/6/25 23:10,,,PAX,,,00,HAK,A01-C10,A,,,2017/6/26 0:39,正班
8L9801,,8L9888,昆明-丽江,,D,B6198,A319,,,REG,33-计划,REG,2017/6/25 23:10,,,PAX,,,00,LJG,A01-C10,A,,,2017/6/26 0:01,正班
MU2246,,MU2245,昆明-西宁,,D,B2378,A320,,,REG,33-计划,REG,2017/6/25 23:15,,,PAX,,,00,XNN,E11-H20,E,,,2017/6/26 1:19,正班
MU5733,,MU5818,昆明-广州,,D,B1908,B738,,,REG,33-计划,REG,2017/6/25 23:15,,,PAX,,,00,CAN,E11-H20,E,,,2017/6/26 0:56,正班
3U8527,,3U8848,昆明-西安,,D,B6325,A320,,,REG,33-计划,REG,2017/6/25 23:20,,,PAX,,,00,XIY,C16-C20,A,,,2017/6/26 1:03,正班
MU2498,,MU2493,昆明-武汉,,D,B7876,B738,,,REG,33-计划,REG,2017/6/25 23:20,,,PAX,,,00,WUH,E11-H20,F,,,2017/6/26 1:09,正班
EU2224,,EU2226,昆明-成都,,D,B6229,A319,,,REG,33-计划,REG,2017/6/25 23:25,,,PAX,,,00,CTU,D01-E10,B,,,2017/6/26 0:28,正班
MU5706,,MU5884,昆明-版纳,,D,B5271,B737,,,REG,33-计划,REG,2017/6/25 23:25,,,PAX,,,00,JHG,E11-H20,E,,,2017/6/26 0:11,正班
MU555,,MU555,昆明-加尔,,I,B6007,A320,,,REG,33-计划,REG,2017/6/25 23:35,,,PAX,,,00,CCU,J04-J06,G,,,2017/6/26 2:10,正班
SC8828,,SC8828,昆明-济南,,D,B5335,B738,,,REG,33-计划,REG,2017/6/25 23:50,,,PAX,,,00,TNA,D01-E10,A,,,2017/6/26 2:22,正班
8L9945,,8L9903,昆明-成都,,D,B5825,B737,,,REG,33-计划,REG,2017/6/25 23:55,,,PAX,,,01,CTU,A01-C10,A,,,2017/6/26 0:58,正班
CF9017,,CF9018,昆明-南京,,D,B2824,B757,,,REG,33-计划,REG,2017/6/26 0:05,,,CGO,,,00,NKG,,,,,2017/6/26 2:23,货运包机
8L9583,,8L9892,昆明-马尼拉,,I,B6800,B738,,,REG,33-计划,REG,2017/6/26 0:25,,,PAX,,,00,MNL,J15-J17,H,,,,正班
MU5078,,MU5078,昆明-合肥,,D,B6010,A320,,,REG,33-计划,REG,2017/6/26 0:55,,,PAX,,,00,HFE,E11-H20,E,,,2017/6/26 3:03,正班
MU773,,MU5706,昆明-巴黎,,I,B5926,A33E,,,REG,33-计划,REG,2017/6/26 0:55,,,PAX,,,00,CDG,J07-J10,G,,,2017/6/26 12:50,正班
SC8885,,SC8885,昆明-曼谷,,I,B6986,B738,,,REG,33-计划,REG,2017/6/26 1:00,,,PAX,,,00,BKK,J11-J14,H,,,2017/6/26 3:04,正班
MU2591,,MU5455,昆明-普吉,,I,B6335,A320,,,REG,33-计划,REG,2017/6/26 1:20,,,PAX,,,00,HKT,J01-J03,G,,,2017/6/26 4:03,正班
VJ5325,,VJ5324,昆明-芽庄,,I,,A320,,,REG,33-计划,REG,2017/6/26 2:05,,,PAX,,,00,CXR,,H,,,,正班
