昆明机场飞行动态,,,,,
,,,,,2017年06月18日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
224,CZ3431,B8548,海口/0805,/,昆明
225,CZ3432,B8548,昆明/1055,/,海口
226,CZ3451,B9952,深圳/1345,昆明/1720,丽江
227,CZ3452,B9952,丽江/1915,昆明/2120,深圳
228,CZ3459,B2395,深圳/0800,/,昆明
229,CZ3460,B2395,昆明/1135,/,深圳
230,CZ3467,B6251,长沙/1825,/,昆明
231,CZ3468,B6251,昆明/2130,/,长沙
232,CZ3481,B6200,广州/0700,昆明/1030,大理
233,CZ3482,B6200,大理/1210,昆明/1410,广州
234,CZ3487,B6040,广州/1235,昆明/1615,丽江
235,CZ3488,B6040,丽江/1805,昆明/2010,广州
236,CZ3489,B5939,广州/1830,/,昆明
237,CZ3490,B5939,昆明/2210,/,广州
238,CZ3491,B2622,郑州/0755,昆明/1135,版纳
239,CZ3492,B2622,版纳/1325,昆明/1530,郑州
240,CZ3495,B1980,郑州/1355,/,昆明
241,CZ3496,B1980,昆明/1740,/,郑州
242,CZ3541,B5191,昆明/0755,/,武汉
243,CZ3542,B1737,武汉/2335,/,昆明
244,CZ3677,B6681,上海/0740,/,昆明
245,CZ3678,B6681,昆明/1205,/,上海
246,CZ3747,B5310,珠海/1840,/,昆明
247,CZ3748,B5310,昆明/2140,/,珠海
248,CZ3857,B5718,汕头/0840,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
249,CZ3858,B5718,昆明/1215,/,汕头
250,CZ3863,B5837,南宁/1835,/,昆明
251,CZ3864,B5837,昆明/2110,/,南宁
252,CZ3901,B6098,北京/0905,/,昆明
253,CZ3902,B6098,昆明/1345,/,北京
254,CZ3998,B6111,昆明/0915,/,北京
255,CZ6159,B6318,北京/1450,/,昆明
256,CZ6160,B6318,昆明/2005,/,北京
257,CZ616Z,B6581,昆明/1130,/,北京
258,CZ6269,B8847,西安/1230,/,昆明
259,CZ6270,B8847,昆明/1550,/,西安
260,CZ6369,B2916,郑州/1300,昆明/1650,版纳
261,CZ6370,B2916,版纳/1855,昆明/2100,郑州
262,CZ6403,B6308,重庆/1305,/,昆明
263,CZ6404,B6308,昆明/1550,/,重庆
264,CZ6415,B6783,西安/1650,/,昆明
265,CZ6416,B6783,昆明/2005,/,西安
266,CZ6425,B1828,武汉/1040,/,昆明
267,CZ6426,B1828,昆明/1355,/,武汉
268,CZ6427,B2285,长沙/1600,/,昆明
269,CZ6428,B2285,昆明/1900,/,长沙
270,CZ6459,B6678,重庆/1320,/,昆明
271,CZ6460,B6678,昆明/1610,/,重庆
272,CZ6561,B5719,义乌/1630,/,昆明
273,CZ6562,B5719,昆明/2035,/,义乌
274,CZ6597,B8675,三亚/1750,/,昆明
275,CZ6598,B8675,昆明/2105,/,三亚
276,CZ6601,B5232,郑州/1820,/,昆明
277,CZ6602,B5232,昆明/2210,/,郑州
278,CZ6799,B8869,上海/1450,/,昆明
279,CZ6800,B8869,昆明/1945,/,上海
280,CZ6923,B6343,深圳/1840,/,昆明
281,CZ6924,B6343,昆明/2220,/,深圳
282,CZ6949,B1952,重庆/1505,/,昆明
283,CZ6950,B1952,昆明/1745,/,重庆
284,CZ6977,B2917,武汉/1900,/,昆明
285,CZ6978,B2917,昆明/2150,/,武汉
286,CZ8509,B1652,青岛/1945,/,昆明
287,CZ8510,B1652,昆明/0810,/,青岛
288,DR5313,B5830,昆明/0725,/,恩施许家坪
289,DR5314,B5830,恩施许家坪/1540,/,昆明
290,DR6501,B6109,昆明/1310,/,芒市
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
291,DR6502,B6109,芒市/1455,/,昆明
292,DR6503,B5811,昆明/1700,/,芒市
293,DR6504,B5811,芒市/1840,/,昆明
294,DR6505,B5830,昆明/1830,/,芒市
295,DR6506,B5830,芒市/2025,/,昆明
296,DR6507,B6109,昆明/0910,/,芒市
297,DR6508,B6109,芒市/1055,/,昆明
298,DR6509,B5829,昆明/0840,/,版纳
299,DR6510,B5829,版纳/1035,/,昆明
300,DR6511,B5830,昆明/2240,/,版纳
301,DR6512,B5830,版纳/0030,/,昆明
302,DR6515,B5829,昆明/1330,/,襄阳
303,DR6516,B5829,襄阳/2230,/,昆明
304,DR6521,B1595,昆明/0700,/,成都
305,DR6522,B1595,成都/2250,/,昆明
306,DR6523,B6109,昆明/1710,/,丽江
307,DR6524,B6109,丽江/2255,/,昆明
308,DR6529,B7088,昆明/0735,/,太原
309,DR6530,B7088,太原/1455,/,昆明
310,DR6533,B7867,昆明/0720,/,武汉
311,DR6534,B7867,武汉/2145,/,昆明
312,DR6537,B7088,昆明/1855,/,兰州
313,DR6538,B7088,兰州/2205,/,昆明
314,DR6559,B1593,昆明/1240,/,太原
315,DR6560,B1593,太原/2210,/,昆明
316,DR6561,B7866,昆明/1155,/,青岛
317,DR6562,B7866,青岛/2205,/,昆明
318,DR6569,B1593,昆明/0720,/,北海
319,DR6570,B1593,北海/0945,/,昆明
320,DR6577,B6110,昆明/0715,/,榆林
321,DR6578,B5812,榆林/1910,/,昆明
322,DR6579,B5811,昆明/2040,/,芒市
323,DR6580,B5811,芒市/1350,/,昆明
324,DR6591,B1960,昆明/0635,/,西安
325,DR6592,B1960,西安/2215,/,昆明
326,EU2223,B6230,成都/0635,/,昆明
327,EU2224,B6230,昆明/2325,/,成都
328,EU2225,B6230,昆明/1925,/,版纳
329,EU2226,B6230,版纳/2115,/,昆明
330,EU2721,B6230,昆明/0920,/,柳州
331,EU2722,B6230,柳州/1655,/,昆明
332,FD582,,廊曼/0900,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
333,FD583,,昆明/1320,/,廊曼
334,FM9397,B6698,长沙/1250,/,昆明
335,FM9398,B6698,昆明/1610,/,长沙
336,FM9429,B7397,衡阳/1420,/,昆明
337,FM9430,B7397,昆明/1725,/,衡阳
338,FM9451,B2570,上海/0900,/,昆明
339,FM9452,B2570,昆明/1400,/,上海
340,FM9453,B5261,上海/0815,昆明/1300,版纳
341,FM9454,B5261,版纳/1445,昆明/1640,上海
342,FM9539,B5320,温州/0740,/,昆明
343,FM9540,B5320,昆明/1200,/,温州
344,FM9541,B5145,郑州/0750,/,昆明
345,FM9542,B5145,昆明/1150,/,郑州
346,FU6509,B1562,福州/1815,/,昆明
347,FU6510,B1562,昆明/2225,/,福州
348,GJ8661,B8148,贵阳/2320,/,昆明
349,GJ8662,B8335,昆明/0655,/,贵阳
350,GJ8837,B8452,珠海/1150,/,昆明
351,GJ8838,B8452,昆明/1805,/,珠海
352,GJ8871,B1867,昆明/0810,/,临沂
353,GJ8872,B1867,临沂/1925,/,昆明
354,GS7661,B6903,西安/1925,/,昆明
355,GS7662,B6903,昆明/2250,/,西安
356,GS7855,B6865,天津/0825,/,昆明
357,GS7856,B6865,昆明/1325,/,天津
358,GS7857,B8776,西安/1040,/,昆明
359,GS7858,B8776,昆明/1405,/,西安
360,GS7875,B9989,西安/1640,/,昆明
361,GS7876,B9989,昆明/1950,/,西安
362,HO1017,B6670,大庸/1655,/,昆明
363,HO1018,B6670,昆明/1955,/,大庸
364,HO1047,B6602,毕节/1725,/,昆明
365,HO1048,B6602,昆明/1930,/,毕节
366,HO1093,B6619,上海/2105,/,昆明
367,HO1095,B6572,毕节/1825,/,昆明
368,HO1096,B6572,昆明/2025,/,毕节
369,HO1099,B6619,上海/1200,/,昆明
370,HO1100,B6619,昆明/1635,/,上海
371,HO1121,B6311,上海/0835,/,昆明
372,HO1122,B6311,昆明/1255,/,上海
373,HO1651,B6338,南京/2100,/,昆明
374,HO1652,B6965,昆明/0710,/,南京
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
375,HO1681,B6963,毕节/1255,/,昆明
376,HO1682,B6963,昆明/1505,/,毕节
377,HU7087,B5710,海口/0740,/,昆明
378,HU7088,B5710,昆明/1035,/,海口
379,HU7089,B2651,海口/1940,/,昆明
380,HU7090,B2651,昆明/2240,/,海口
381,HU7111,B7175,北京/1540,/,昆明
382,HU7163,B7377,深圳/0755,/,昆明
383,HU7164,B7377,昆明/1125,/,深圳
384,HU7211,B2723,北京/0810,/,昆明
385,HU7212,B2723,昆明/1255,/,北京
386,HU7312,B5733,昆明/0700,/,北京
387,JD5155,B6952,丽江/1405,/,昆明
